fold,best_representation,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test,best_C,best_gamma
0,mean_z,0.8020833333333333,0.8461538461538461,0.9,0.6928203230275508,0.15819676079029646,0.27837902555073074,7.746407971715615,67,13,1,0.1
1,mean_z,0.8033685064935066,0.875,0.8785714285714286,0.7491587023046328,0.05304756925932505,0.3484893787985961,1.3794493385880437,56,24,10,0.01
2,mean_z,0.828670634920635,0.8333333333333334,0.8333333333333333,0.6708203932499369,0.03388852860615429,0.33694072644277856,1.3866107106017287,62,18,10,0.01
3,mean_z,0.8275932400932401,0.9444444444444444,0.9545454545454546,0.8918825850158447,0.026869079687093143,0.30545801606372347,1.3895137076212505,62,18,10,0.01
4,mean_z,0.8532699938949939,0.5714285714285714,0.55,0.09128709291752768,0.043999221661639006,0.36168008061345114,1.3956531482421364,73,7,10,0.01
5,mean_z,0.7572382478632478,1.0,1.0,1.0,0.03545845255715842,0.29426609850847846,1.38425491717283,68,12,10,0.01
6,mean_z,0.7453373015873016,0.7272727272727273,0.75,0.5590169943749475,0.04871195770364762,0.3593152431786934,1.4444200261071782,58,22,1,0.01
7,mean_z,0.8918560606060606,0.625,0.6349206349206349,0.2698412698412698,0.03569619367579059,0.38984182326193606,1.390162626259401,64,16,10,0.01
8,mean_z,0.8159090909090909,0.7692307692307693,0.7333333333333334,0.42600643361512924,0.13813351048205028,0.24042265214967296,8.286746123149758,67,13,10,scale
9,mean_z,0.8029761904761905,0.7647058823529411,0.7708333333333333,0.5493502655735357,0.18318405311537742,0.2933499132145536,7.837086522559535,63,17,10,scale
10,mean_z,0.8102831196581197,0.8823529411764706,0.8888888888888888,0.7888106377466154,0.041136918724529965,0.3575538269552355,1.396154021194051,63,17,10,0.01
11,mean_z,0.8225694444444445,0.7916666666666666,0.78125,0.5477225575051662,0.24865291223666675,0.3163268567485112,7.128435471875546,56,24,10,0.1
12,mean_z,0.8007756132756133,0.8333333333333334,0.8035714285714286,0.5635445125120265,0.03372665868210265,0.2874543529366692,1.3981775304055235,62,18,10,0.01
13,mean_z,0.8301804812834225,0.8571428571428571,0.875,0.75,0.1750533106828284,0.2937293941474512,7.926735574219612,66,14,1,scale
14,mean_z,0.8545138888888889,1.0,1.0,1.0,0.1533519892433175,0.26615815334650345,7.531779754399688,73,7,1,scale
15,mean_z,0.8329059829059828,0.875,0.8545454545454545,0.7090909090909091,0.055124099978716846,0.35476757785170077,1.356370730445038,64,16,10,0.01
16,mean_z,0.8375946969696969,0.6428571428571429,0.5444444444444444,0.12171612389003691,0.1614827236517879,0.2771500922304277,7.93194056672703,66,14,10,scale
17,mean_z,0.8621031746031746,0.7619047619047619,0.7916666666666667,0.6123724356957946,0.20571382410182987,0.3431898964366407,7.982180704004555,59,21,1,scale
18,mean_z,0.8135912698412697,0.8947368421052632,0.8920454545454546,0.7840909090909091,0.032441214948017806,0.30231636539470697,1.465773071778783,61,19,10,0.01
19,mean_z,0.7767676767676768,0.9,0.9,0.816496580927726,0.027644940473245762,0.29547054508227305,1.3563337166568574,70,10,10,0.01
20,mean_z,0.8470643939393939,0.6666666666666666,0.65625,0.2988071523335984,0.22791625823798276,0.28872708730766433,8.076322129268542,56,24,10,scale
21,mean_z,0.8176587301587301,0.7222222222222222,0.7,0.4437601569801833,0.18862242804663065,0.302546325232627,8.40530334318049,62,18,1,scale
22,mean_z,0.8088541666666667,0.8,0.8571428571428572,0.6546536707079772,0.17784612458168075,0.316762650272644,7.482151977370086,70,10,1,scale
23,mean_z,0.8329545454545455,0.8571428571428571,0.8571428571428572,0.7453559924999299,0.17783662638602404,0.29612480168009214,7.616964416967157,66,14,1,scale
24,mean_z,0.8008986928104574,0.9285714285714286,0.875,0.8257228238447705,0.12701873295967528,0.21253824562287685,8.70811946407303,66,14,1,scale
25,mean_z,0.8241815476190477,0.5555555555555556,0.6666666666666666,0.3779644730092272,0.04014323583496322,0.3542802264851445,1.3596194593842423,71,9,1,0.01
26,mean_z,0.8470467032967033,0.8333333333333334,0.823076923076923,0.6139406135149204,0.033265232206317476,0.30977054605640464,1.447197371738349,62,18,10,0.01
27,mean_z,0.8283882783882783,0.8888888888888888,0.9,0.8,0.16314607086290267,0.24327567560448574,8.1548555087572,62,18,1,scale
28,mean_z,0.9053647741147741,0.7894736842105263,0.7440476190476191,0.5346815442312336,0.03521812742176187,0.37939720015990364,1.4107713502769132,61,19,10,0.01
29,mean_z,0.8427398989898989,0.8125,0.75,0.6201736729460423,0.047280880955517565,0.34753161700877744,1.3683862926241506,64,16,10,0.01
30,mean_z,0.8685533216783217,0.8333333333333334,0.7916666666666666,0.6139406135149204,0.0303280638336773,0.3255657184439012,1.389525412768145,62,18,10,0.01
31,mean_z,0.8387706043956045,1.0,1.0,1.0,0.03944575647575496,0.335580205256451,1.3735844504182633,71,9,10,0.01
32,mean_z,0.8600063131313131,0.7857142857142857,0.7916666666666667,0.5773502691896257,0.0380544635606423,0.3758586441508686,1.4306274213144892,66,14,10,0.01
33,mean_z,0.7916666666666666,0.85,0.8333333333333333,0.6847367880174606,0.14511170258773398,0.24822096891181408,8.245875950943592,60,20,1,scale
34,mean_z,0.8579883658008658,0.7368421052631579,0.7023809523809523,0.4200412794412907,0.20940245481298642,0.2942831276758652,8.030885403782154,61,19,10,scale
35,mean_z,0.9106150793650793,0.6470588235294118,0.6571428571428571,0.3098898934004561,0.1881733371845472,0.3141658985677405,8.329473701012535,63,17,10,scale
36,mean_z,0.83125,1.0,1.0,1.0,0.1529865905903091,0.26438776021859345,7.695072507641145,68,12,1,scale
37,mean_z,0.8454847236097236,0.8461538461538461,0.75,0.6396021490668313,0.024824895765901463,0.29158029689828713,1.3899910093345647,67,13,10,0.01
38,mean_z,0.7526154401154401,0.7777777777777778,0.775,0.55,0.03745096441518187,0.3954235552430289,1.3889480454663221,62,18,1,0.01
