fold,best_representation,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test,best_C
0,mean_z,0.7881944444444444,0.9230769230769231,0.95,0.8215838362577492,0.3075148341597164,0.3337415034326314,3.8259147078832054,67,13,1.0
1,mean_z,0.8323863636363638,0.875,0.8785714285714286,0.7491587023046328,0.31058268488286145,0.3481594605965928,3.71816183157863,56,24,10.0
2,mean_z,0.8746527777777777,0.8333333333333334,0.8333333333333333,0.6708203932499369,0.3187450130362361,0.33788215777282143,3.8297368922672135,62,18,1.0
3,mean_z,0.8275932400932401,0.9444444444444444,0.9545454545454546,0.8918825850158447,0.2843778733685626,0.30635702432647555,3.7882241792559253,62,18,1.0
4,mean_z,0.8628853785103785,0.5714285714285714,0.55,0.09128709291752768,0.3461868262210834,0.3631869419497587,3.684506602331846,73,7,1.0
5,mean_z,0.7876869658119658,1.0,1.0,1.0,0.2515358152109405,0.29428601351474154,3.834968252302188,68,12,10.0
6,mean_z,0.7682539682539683,0.8181818181818182,0.825,0.65,0.3479932015572253,0.36572458134574287,3.686239120282265,58,22,0.1
7,mean_z,0.9053030303030303,0.625,0.6349206349206349,0.2698412698412698,0.3715206596408831,0.38844878631364316,3.8123093272506576,64,16,1.0
8,mean_z,0.8315340909090909,0.9230769230769231,0.95,0.8215838362577492,0.2729785105031374,0.2930386005731127,3.9152116696322645,67,13,10.0
9,mean_z,0.8305555555555555,0.9411764705882353,0.9444444444444444,0.8888888888888888,0.3135591432583765,0.33248211812096506,3.5794157429360687,63,17,10.0
10,mean_z,0.8230235042735042,0.8235294117647058,0.8263888888888888,0.6527777777777778,0.34514880923064933,0.3599742381554352,3.707346462291823,63,17,10.0
11,mean_z,0.76875,0.8333333333333334,0.8125,0.625,0.3510670595793034,0.37172880253213897,3.807983674970758,56,24,10.0
12,mean_z,0.8007756132756133,0.8333333333333334,0.8035714285714286,0.5635445125120265,0.2735361186510643,0.2888387190273619,3.9459558726305057,62,18,1.0
13,mean_z,0.8197303921568628,0.7857142857142857,0.8125,0.6454972243679028,0.32824994250211215,0.35184386552085134,3.817560796192698,66,14,1.0
14,mean_z,0.8607638888888889,1.0,1.0,1.0,0.26497893074175577,0.30603022047831335,3.735303207704046,73,7,1.0
15,mean_z,0.8432081807081807,0.9375,0.9,0.8563488385776753,0.32088858849824603,0.35447698789483445,3.8420299657799806,64,16,10.0
16,mean_z,0.8661616161616161,0.7142857142857143,0.6444444444444444,0.3373495424699933,0.30925448976826736,0.3355053597148976,3.9499544900182113,66,14,0.1
17,mean_z,0.8437996031746031,0.7619047619047619,0.7777777777777777,0.5555555555555556,0.3707719036352614,0.39044363012387984,3.7604578660557877,59,21,1.0
18,mean_z,0.8415674603174603,0.9473684210526315,0.9375,0.8955910525085282,0.2733023744036466,0.30275027513190633,3.4611934272281615,61,19,10.0
19,mean_z,0.8031565656565656,0.9,0.9,0.816496580927726,0.26976906842659615,0.29686311516783837,3.7970707873795657,70,10,1.0
20,euclid_centroid,0.7892316017316018,0.4166666666666667,0.53125,0.07905694150420949,0.05901262723239254,0.07269071998199053,5.830525119517823,56,24,1.0
21,mean_z,0.8123015873015872,0.7777777777777778,0.775,0.55,0.344485066168523,0.3663943317382714,3.799587955727027,62,18,0.1
22,mean_z,0.8583333333333334,0.7,0.7857142857142857,0.5345224838248488,0.3180216941330937,0.36788457514788325,3.5313653572510915,70,10,10.0
23,mean_z,0.8329545454545455,0.8571428571428571,0.8571428571428572,0.7453559924999299,0.31455621267453004,0.34114070404535035,3.703723008408477,66,14,1.0
24,mean_z,0.8064133986928105,0.9285714285714286,0.875,0.8257228238447705,0.24481230511881522,0.2612335873356533,3.9175163156613158,66,14,10.0
25,mean_z,0.8319940476190477,1.0,1.0,1.0,0.3328322333083376,0.3553386856879963,3.8395081268706397,71,9,10.0
26,mean_z,0.8434409340659341,0.8333333333333334,0.823076923076923,0.6139406135149204,0.28950435074913233,0.3111128094594604,3.9021853973341356,62,18,10.0
27,mean_z,0.8462454212454213,0.9444444444444444,0.95,0.8944271909999159,0.26028960609202334,0.2871219304219873,3.6878728627257007,62,18,0.1
28,mean_z,0.8914758852258853,0.7368421052631579,0.7023809523809523,0.4200412794412907,0.35499415157463116,0.3802615120248755,3.852396375618077,61,19,0.1
29,mean_z,0.8427398989898989,0.8125,0.75,0.6201736729460423,0.32447006008052864,0.34668972652309205,3.818946646288871,64,16,0.1
30,mean_z,0.8685533216783217,0.7777777777777778,0.75,0.5,0.3003113173093883,0.3259697859727953,3.564091642136694,62,18,0.1
31,mean_z,0.8291552197802199,0.8888888888888888,0.8333333333333333,0.7559289460184544,0.316111429042293,0.3369455449503816,3.826271522601429,71,9,1.0
32,mean_z,0.8669507575757576,0.8571428571428571,0.8541666666666667,0.7083333333333334,0.35834327005590494,0.3759498296026327,3.6619758172719923,66,14,1.0
33,mean_z,0.7306547619047619,0.85,0.8333333333333333,0.6847367880174606,0.2599070706324256,0.2893837617651201,3.8902328882446717,60,20,10.0
34,mean_z,0.8450013528138529,0.8421052631578947,0.8154761904761905,0.6547702297173061,0.3489472714730231,0.36965863199058546,3.8288639151221844,61,19,10.0
35,mean_z,0.849107142857143,0.6470588235294118,0.6357142857142857,0.2714285714285714,0.34898940878768814,0.36545931510215907,3.8646249926913767,63,17,10.0
36,mean_z,0.846875,0.9166666666666666,0.9285714285714286,0.8451542547285166,0.28353062249482464,0.32358600866232856,3.8403423806935124,68,12,0.1
37,mean_z,0.8704847236097236,0.8461538461538461,0.75,0.6396021490668313,0.27638438077174843,0.2920034925148679,3.9108369870597923,67,13,1.0
38,mean_z,0.741657647907648,0.7777777777777778,0.7875,0.575,0.35188721311748583,0.39347693023874786,3.7364666905326955,62,18,1.0
39,mean_z,0.7832566738816739,0.95,0.9642857142857143,0.8921425711997711,0.31968082521547403,0.31450246622751826,3.6184526820976726,60,20,10.0
40,mean_z,0.8302083333333332,0.9,0.9285714285714286,0.8017837257372732,0.32517762390841154,0.35184630260321065,3.752025786908114,70,10,1.0
41,mean_z,0.8322916666666667,0.9473684210526315,0.9615384615384616,0.8894991799933215,0.21298340501492297,0.25767619876738396,3.9843080165873066,61,19,1.0
