fold,best_representation,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test,best_C,best_degree,best_gamma,best_coef0
0,mean_z,0.8159722222222223,0.8461538461538461,0.9,0.6928203230275508,0.2079168477538143,0.2881855081356062,7.956287158012498,67,13,0.1,3,scale,1.0
1,mean_z,0.8252840909090909,0.9166666666666666,0.9142857142857144,0.8285714285714286,0.18308534267471915,0.3292593596415394,5.344119311166657,56,24,1.0,2,0.1,1.0
2,mean_z,0.8496527777777778,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.1869272042861262,0.3093070283389963,6.149928875730132,62,18,1.0,2,scale,1.0
3,mean_z,0.7966679154179155,0.9444444444444444,0.9545454545454546,0.8918825850158447,0.1652610801820386,0.2775190425247382,5.653863186892915,62,18,10.0,2,scale,1.0
4,mean_z,0.8575434981684982,0.5714285714285714,0.55,0.09128709291752768,0.2748227951854521,0.2532573545196007,7.579016549197661,73,7,10.0,3,scale,0.0
5,mean_z,0.8087339743589743,1.0,1.0,1.0,0.15622797572810918,0.23335789205816618,6.258157385042563,68,12,0.1,3,scale,1.0
6,mean_z,0.7633928571428572,0.9090909090909091,0.9166666666666667,0.8333333333333334,0.21033295158169554,0.33808696688353307,5.828776885879971,58,22,1.0,2,scale,1.0
7,mean_z,0.903219696969697,0.6875,0.6904761904761905,0.3779644730092272,0.2176648782159064,0.3518994374214,5.885601146973023,64,16,1.0,2,scale,1.0
8,mean_z,0.8002840909090909,0.8461538461538461,0.9,0.6928203230275508,0.1642048822832012,0.22261694181661634,8.263921833578777,67,13,1.0,3,scale,1.0
9,mean_z,0.8694444444444445,0.8823529411764706,0.8888888888888888,0.7888106377466154,0.2198130091228489,0.30402038013272475,7.5661881499088235,63,17,0.1,3,scale,1.0
10,mean_z,0.8116720085470085,0.8823529411764706,0.8888888888888888,0.7888106377466154,0.20939453105133854,0.3447206861826793,5.232831316214604,63,17,1.0,2,0.1,1.0
11,mean_z,0.8319444444444444,0.8333333333333334,0.8125,0.625,0.22307391371161162,0.30788114109260883,8.410913355161679,56,24,1.0,3,scale,1.0
12,mean_z,0.8121392496392497,0.8333333333333334,0.8035714285714286,0.5635445125120265,0.16336341267158055,0.2716421912564388,5.883853734325919,62,18,1.0,2,0.1,1.0
13,mean_z,0.8436274509803922,0.6428571428571429,0.6458333333333333,0.28867513459481287,0.1821594159182443,0.3266858692573409,5.410493584361489,66,14,0.1,2,0.1,1.0
14,mean_z,0.8715277777777778,1.0,1.0,1.0,0.15277374613948283,0.2844884194789748,4.975000374593455,73,7,1.0,2,scale,1.0
15,mean_z,0.8382478632478633,0.9375,0.9,0.8563488385776753,0.18773467009436287,0.33347080137069596,5.238600152836379,64,16,1.0,2,0.1,1.0
16,mean_z,0.853219696969697,0.7857142857142857,0.7,0.5477225575051662,0.18767100042942497,0.2654011073324453,8.18989082562399,66,14,1.0,3,scale,1.0
17,mean_z,0.886656746031746,0.8095238095238095,0.8333333333333333,0.6793662204867574,0.221127894249486,0.3594108831726304,5.572409442405282,59,21,1.0,2,0.1,1.0
18,mean_z,0.8603174603174603,0.8947368421052632,0.8920454545454546,0.7840909090909091,0.25548454273616733,0.2411071117218618,6.523524133509121,61,19,1.0,3,scale,0.0
19,mean_z,0.7923926767676768,1.0,1.0,1.0,0.1536030437774468,0.27249387700516786,5.808773934222915,70,10,1.0,2,scale,1.0
20,mean_z,0.8709280303030303,0.625,0.625,0.23652495839563303,0.1874669747418999,0.29477341698459736,8.450597345022489,56,24,10.0,3,scale,1.0
21,mean_z,0.8301587301587301,0.7777777777777778,0.775,0.55,0.19973167401654623,0.3340574702363526,5.875490275385759,62,18,1.0,2,scale,1.0
22,mean_z,0.8484375,0.8,0.8571428571428572,0.6546536707079772,0.22076273384025152,0.3350871587188838,7.078072333146231,70,10,0.1,3,0.1,1.0
23,mean_z,0.8465909090909092,0.7857142857142857,0.7857142857142857,0.5773502691896257,0.21264883734883908,0.20087192082086938,5.891178626380936,66,14,1.0,3,0.1,0.0
24,mean_z,0.8167075163398693,1.0,1.0,1.0,0.14693910498285798,0.24590253470144394,6.213987244009825,66,14,1.0,2,scale,1.0
25,mean_z,0.8241815476190477,0.6666666666666666,0.75,0.5,0.1977957224744232,0.3265980363943035,5.809761237239492,71,9,0.1,2,scale,1.0
26,mean_z,0.8554601648351647,0.7222222222222222,0.6846153846153846,0.35082320772281167,0.17902418440981044,0.29586633383474503,5.872095875375263,62,18,10.0,2,scale,1.0
27,mean_z,0.8437728937728937,0.8888888888888888,0.9,0.8,0.15688011692143788,0.24048762367382298,7.240308431839262,62,18,1.0,3,0.1,1.0
28,mean_z,0.888003663003663,0.7894736842105263,0.7738095238095238,0.5476190476190477,0.22975636773982355,0.3228500561571348,7.984736786707449,61,19,0.1,3,0.1,1.0
29,mean_z,0.8323232323232322,0.8125,0.75,0.6201736729460423,0.21213361495344527,0.2979340171735047,7.33327731150687,64,16,0.1,3,0.1,1.0
30,mean_z,0.8600743006993008,0.8333333333333334,0.7916666666666666,0.6139406135149204,0.1780633137576583,0.31107958843184225,5.612903308202487,62,18,1.0,2,scale,1.0
