fold,best_representation,best_reps,best_bandwidth,best_C,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test
0,mean_z,1,0.2,1,0.8034722222222223,0.8461538461538461,0.9,0.6928203230275508,0.10584506937287552,0.3170653494334814,3.168637220661911,67,13
1,mean_z,1,0.2,1,0.8056006493506493,0.875,0.8785714285714286,0.7491587023046328,0.1390452160075508,0.3393178739142657,2.9886097695633667,56,24
2,mean_z,1,0.2,10,0.8496527777777778,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.10813261539365479,0.32297271276347184,3.0254420021168387,62,18
3,mean_z,1,0.1,10,0.84009324009324,0.9444444444444444,0.9545454545454546,0.8918825850158447,0.027549767748507363,0.30515946242009845,1.3961434828289994,62,18
4,mean_z,1,0.1,10,0.8532699938949939,0.5714285714285714,0.55,0.09128709291752768,0.04492899402781193,0.36143767692525613,1.4026527807269236,73,7
5,mean_z,1,0.05,10,0.8000534188034187,1.0,1.0,1.0,0.015039219695241747,0.2943222636140809,1.090503493754519,68,12
6,mean_z,1,0.2,1,0.7856150793650795,0.8636363636363636,0.875,0.7595545253127499,0.13801790111359777,0.3284676719029249,3.4171933261419207,58,22
7,mean_z,2,0.2,10,0.8942911255411256,0.6875,0.6904761904761905,0.3779644730092272,0.06718713417077726,0.30226682238431163,2.624156658620842,64,16
8,mean_z,1,0.2,10,0.8002840909090909,0.9230769230769231,0.95,0.8215838362577492,0.08325204430591597,0.27941594464571295,2.8860199414284535,67,13
9,mean_z,1,0.2,10,0.8251984126984127,0.8823529411764706,0.8888888888888888,0.7888106377466154,0.12218913603240113,0.3236434307612233,3.227464110556922,63,17
10,mean_z,1,0.1,10,0.8102831196581197,0.8823529411764706,0.8888888888888888,0.7888106377466154,0.04210975757909,0.3577563387594443,1.4031886663960615,63,17
11,mean_z,1,0.2,10,0.840625,0.8333333333333334,0.8125,0.625,0.18176619105889089,0.35717714208099827,3.03940409622996,56,24
12,mean_z,1,0.2,1,0.8190836940836942,0.8333333333333334,0.8035714285714286,0.5635445125120265,0.09586868860008652,0.2751082753523706,3.162426171118944,62,18
13,mean_z,1,0.05,10,0.8478553921568627,0.7857142857142857,0.8125,0.6454972243679028,0.009008161644169227,0.35175552179532976,1.0899191489653246,66,14
14,mean_z,2,0.05,10,0.8628472222222222,1.0,1.0,1.0,0.008905847380923043,0.3063808907450452,1.094022249924699,73,7
15,mean_z,1,0.1,10,0.8329059829059828,0.8125,0.8090909090909091,0.5918640302493726,0.055946621656968704,0.3546438629772689,1.3623696713932394,64,16
16,mean_z,1,0.2,10,0.8462752525252526,0.7857142857142857,0.7,0.5477225575051662,0.10074105972440306,0.3170238976593988,3.0168026586026553,66,14
17,mean_z,1,0.2,10,0.8492559523809524,0.8095238095238095,0.8194444444444444,0.6330541649476573,0.13452836797266854,0.3817297714117869,3.239472135676269,59,21
18,mean_z,1,0.2,1,0.8260912698412699,0.8947368421052632,0.8920454545454546,0.7840909090909091,0.10972731235048801,0.28995833883298205,3.5323673655416004,61,19
19,mean_z,1,0.2,10,0.8062815656565656,1.0,1.0,1.0,0.0887877913946541,0.28277503585116137,2.8436894548261673,70,10
20,mean_z,1,0.2,10,0.8323322510822511,0.7916666666666666,0.78125,0.5477225575051662,0.1627103990167292,0.327749736401385,3.063068010810648,56,24
21,mean_z,1,0.2,1,0.8301587301587301,0.7777777777777778,0.775,0.55,0.11906602285611852,0.3502292640491317,3.12179533044918,62,18
22,mean_z,1,0.2,1,0.8442708333333333,0.8,0.8571428571428572,0.6546536707079772,0.11895453440071577,0.3561513983865189,3.1668224849894204,70,10
23,mean_z,1,0.1,10,0.8329545454545455,0.8571428571428571,0.8571428571428572,0.7453559924999299,0.0363598453643398,0.3425538226371984,1.3936469582038211,66,14
24,mean_z,1,0.2,10,0.8036356209150326,0.9285714285714286,0.95,0.848528137423857,0.07846258789360999,0.24491107627164632,3.1052450583246762,66,14
25,mean_z,1,0.1,1,0.8241815476190477,0.5555555555555556,0.6666666666666666,0.3779644730092272,0.040901233930925,0.35413081529178453,1.3654376513264401,71,9
26,mean_z,1,0.1,10,0.8626717032967033,0.8333333333333334,0.823076923076923,0.6139406135149204,0.034058163442062944,0.309326338664447,1.4556597822410078,62,18
27,mean_z,1,0.1,10,0.8366300366300365,0.8888888888888888,0.9,0.8,0.037407679976217245,0.2860483531830633,1.3929283369454484,62,18
28,mean_z,1,0.1,10,0.9053647741147741,0.7894736842105263,0.7440476190476191,0.5346815442312336,0.036299166584309664,0.380096319763304,1.4182882304351014,61,19
29,mean_z,1,0.1,10,0.8427398989898989,0.8125,0.75,0.6201736729460423,0.0480618569299468,0.34636851154854986,1.3747969695975981,64,16
30,mean_z,1,0.1,10,0.8685533216783217,0.8333333333333334,0.7916666666666666,0.6139406135149204,0.03121324177977167,0.3258178314423052,1.3964829792098334,62,18
31,mean_z,1,0.1,10,0.8387706043956045,1.0,1.0,1.0,0.040227784975128654,0.33572847876295364,1.3797795318726676,71,9
32,mean_z,1,0.05,10,0.8697285353535352,0.7142857142857143,0.7291666666666667,0.4583333333333333,0.010699760954851239,0.3760565626462506,1.1006442138963595,66,14
33,mean_z,1,0.2,1,0.8303571428571428,0.85,0.8333333333333333,0.6847367880174606,0.08545235300672951,0.28069365832794535,2.9290405209268493,60,20
34,mean_z,1,0.2,10,0.874222132034632,0.8421052631578947,0.8154761904761905,0.6547702297173061,0.14521418206393352,0.3452452897086438,3.085537129116107,61,19
35,mean_z,1,0.2,10,0.9383928571428573,0.6470588235294118,0.6571428571428571,0.3098898934004561,0.11349111975789719,0.35531160959076863,3.016358884890986,63,17
36,mean_z,1,0.2,1,0.8500000000000001,1.0,1.0,1.0,0.10207091058244108,0.30387702903441766,3.1416838728679113,68,12
37,mean_z,1,0.2,10,0.8747460872460873,0.7692307692307693,0.6944444444444444,0.42600643361512924,0.08742835304700564,0.28106508083512965,3.0739217591656973,67,13
38,mean_z,1,0.2,10,0.7565386002886003,0.6666666666666666,0.6875,0.3952847075210474,0.12903602921023657,0.38229698399884193,2.9797170250016967,62,18
39,mean_z,1,0.2,10,0.7477453102453102,0.95,0.9642857142857143,0.8921425711997711,0.15179939268773626,0.29484501142369607,3.137196498871422,60,20
40,mean_z,1,0.1,10,0.8333333333333333,0.9,0.9285714285714286,0.8017837257372732,0.03237594292869779,0.35062322913464783,1.3998520464828281,70,10
41,mean_z,1,0.1,10,0.8531250000000001,0.9473684210526315,0.9615384615384616,0.8894991799933215,0.05587249682164019,0.2561359691398147,1.3798624672702888,61,19
42,mean_z,1,0.1,10,0.8413194444444444,0.8125,0.7833333333333333,0.5918640302493726,0.05018900559950538,0.35091561451434855,1.4013229605654105,64,16
43,mean_z,1,0.2,1,0.8586309523809524,0.7894736842105263,0.7285714285714285,0.45714285714285713,0.10293453390472122,0.31174626408742245,3.1414516861252677,61,19
44,mean_z,1,0.2,10,0.8599358974358975,0.75,0.746031746031746,0.49206349206349204,0.12366934683162766,0.3746559705064564,3.004734615073455,64,16
