fold,best_representation,best_reps,best_bandwidth,best_C,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test
0,mean_z,2,0.05,10,0.8493055555555555,0.7692307692307693,0.85,0.5916079783099616,0.13876872064844017,0.2708895312735689,4.164203613617182,67,13
1,mean_z,1,0.05,10,0.7384334415584415,0.8333333333333334,0.8428571428571429,0.6761234037828132,0.16319725772413984,0.32679491413266276,3.119071737183775,56,24
2,mean_z,1,0.1,10,0.8371527777777779,0.8333333333333334,0.8333333333333333,0.6708203932499369,0.1589289803978786,0.21163251723742235,9.977821055275617,62,18
3,mean_z,2,0.05,1,0.7784892191142192,0.7777777777777778,0.8181818181818181,0.6363636363636364,0.1265331822029251,0.26524480447099164,4.101716507931409,62,18
4,mean_z,2,0.05,10,0.8172504578754579,0.7142857142857143,0.8,0.5477225575051661,0.1468992353692466,0.2571527445401739,4.452651407798358,73,7
5,mean_z,1,0.05,10,0.7709134615384615,1.0,1.0,1.0,0.12144870180037777,0.2720931767237528,2.9944870435738205,68,12
6,mean_z,2,0.05,1,0.7154761904761904,0.7272727272727273,0.7333333333333334,0.4666666666666667,0.16664170766880693,0.28558194032526324,4.886375615614034,58,22
7,mean_z,2,0.05,10,0.8828733766233766,0.6875,0.6904761904761905,0.3779644730092272,0.14448302830968454,0.3032068760506433,4.061011226651635,64,16
8,mean_z,1,0.05,10,0.791896645021645,0.9230769230769231,0.95,0.8215838362577492,0.09109139614448472,0.25074326308585493,2.915275674293446,67,13
9,mean_z,2,0.05,10,0.8293650793650793,0.8235294117647058,0.8194444444444444,0.6479515952918626,0.1575009635982679,0.2835161938459413,4.3238650770556255,63,17
10,mean_z,1,0.1,10,0.7968482905982905,0.8235294117647058,0.8263888888888888,0.6527777777777778,0.16700583831036234,0.20212456897689723,10.168996819571737,63,17
11,mean_z,2,0.05,10,0.7506944444444444,0.875,0.84375,0.7130240959073808,0.2077204948142344,0.3135107825155515,4.06419685653992,56,24
12,mean_z,2,0.05,10,0.7616341991341992,0.7777777777777778,0.7678571428571428,0.472455591261534,0.12248598280123778,0.23596219947257896,4.163427948085297,62,18
13,mean_z,1,0.05,10,0.8103888146167557,0.7857142857142857,0.7708333333333333,0.5594309277855158,0.13429239154319556,0.32031139272728393,3.189767356884844,66,14
14,mean_z,2,0.05,10,0.8539141414141415,1.0,1.0,1.0,0.12277621448734316,0.24629837648938754,4.248084704036153,73,7
15,mean_z,1,0.05,10,0.7758547008547008,0.8125,0.8090909090909091,0.5918640302493726,0.1409504857823091,0.30883138017331563,2.7700787655949184,64,16
16,mean_z,1,0.05,10,0.823705808080808,0.7142857142857143,0.6444444444444444,0.3373495424699933,0.09863115236252847,0.25779168123051593,2.994478202553202,66,14
17,mean_z,1,0.05,10,0.8123015873015873,0.7142857142857143,0.7222222222222222,0.4403855060505442,0.15923989522177717,0.3810024121496765,3.1427598718467262,59,21
18,mean_z,2,0.05,10,0.8323412698412698,0.8947368421052632,0.8920454545454546,0.7840909090909091,0.13985738957714378,0.25223444311007626,4.887680341789003,61,19
19,mean_z,1,0.05,10,0.7672190656565656,0.9,0.9,0.816496580927726,0.10407202768326737,0.25836925939965644,2.9756138786764716,70,10
20,mean_z,1,0.1,1,0.8119994588744589,0.7916666666666666,0.78125,0.5477225575051662,0.21868285196731777,0.2235380687262722,10.159717237425157,56,24
21,mean_z,1,0.1,1,0.848015873015873,0.7222222222222222,0.7125,0.4332001127219817,0.17505163920477373,0.22711249515202084,10.589581453961058,62,18
22,mean_z,1,0.05,1,0.795858134920635,0.8,0.8571428571428572,0.6546536707079772,0.1331276896628748,0.32488279430190153,3.18306387862765,70,10
23,mean_z,1,0.05,10,0.7963383838383837,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.1257368961872305,0.29566034035459,3.052338921933249,66,14
24,mean_z,1,0.05,1,0.7571486928104575,0.9285714285714286,0.875,0.8257228238447705,0.08074235180669924,0.2126664870888179,3.072249389114,66,14
25,mean_z,1,0.05,1,0.8031994047619047,0.6666666666666666,0.75,0.5,0.1310113832965202,0.30376891074754186,2.859421316066952,71,9
26,mean_z,1,0.05,10,0.8686813186813187,0.7777777777777778,0.7230769230769231,0.4461538461538462,0.11510607098121467,0.28847875963449854,3.283173064330269,62,18
27,mean_z,2,0.05,10,0.7661935286935286,0.6666666666666666,0.7,0.47809144373375745,0.11588814278014062,0.21824241460685756,4.23212115227749,62,18
28,mean_z,1,0.05,10,0.8345314407814408,0.7368421052631579,0.6726190476190476,0.408491223118783,0.13235300556431387,0.3209399117946944,3.2034857520090507,61,19
29,mean_z,1,0.1,1,0.8095959595959596,0.8125,0.75,0.6201736729460423,0.1970826631665162,0.2379039291013918,9.741389821752177,64,16
30,mean_z,2,0.05,10,0.8255900349650349,0.8888888888888888,0.875,0.75,0.1339262449122239,0.25409127054853,4.254443340632657,62,18
31,mean_z,1,0.05,10,0.8441277472527473,0.7777777777777778,0.8333333333333333,0.6324555320336759,0.1217685800813497,0.2834145937417952,2.9173889934338404,71,9
32,mean_z,1,0.1,10,0.8291035353535354,0.6428571428571429,0.625,0.25819888974716115,0.1891921169297014,0.23922501340943458,12.381280264593885,66,14
33,mean_z,1,0.1,1,0.7507440476190476,0.85,0.8333333333333333,0.6847367880174606,0.13759970772641045,0.18623169595773253,10.328270677203204,60,20
34,mean_z,1,0.1,10,0.8018127705627707,0.7368421052631579,0.7023809523809523,0.4200412794412907,0.192194527638065,0.2179472666133322,9.866272288745558,61,19
35,mean_z,1,0.1,10,0.8384920634920635,0.7058823529411765,0.7285714285714285,0.45714285714285713,0.17278501309949443,0.2313485225374995,10.709094171862963,63,17
36,mean_z,1,0.1,10,0.7798611111111111,1.0,1.0,1.0,0.14698869938194717,0.19268260551044716,10.610860917197487,68,12
37,mean_z,1,0.05,10,0.8079847236097236,0.7692307692307693,0.625,0.4330127018922193,0.09233368854163572,0.24748953137573484,3.0574907888764002,67,13
38,mean_z,1,0.05,1,0.7991973304473304,0.5,0.5,0.0,0.1700459874365113,0.39979697942534376,3.1807336631611407,62,18
39,mean_z,2,0.05,10,0.7565836940836941,0.75,0.8214285714285714,0.5921565254637922,0.16598824385778202,0.23307557278240001,4.3755304012878495,60,20
40,mean_z,1,0.05,10,0.8159455128205129,0.7,0.7857142857142857,0.5345224838248488,0.13794581205275702,0.3401925824106591,3.0754842969045115,70,10
41,mean_z,1,0.1,10,0.7705357142857143,0.8947368421052632,0.9230769230769231,0.7966275068156915,0.1563004872169363,0.1594788844277404,10.425458278275032,61,19
42,mean_z,2,0.05,10,0.7954861111111111,0.875,0.8666666666666667,0.7333333333333333,0.1430549630936197,0.25697613903236083,4.159837185799298,64,16
43,mean_z,1,0.05,10,0.8180059523809524,0.7894736842105263,0.7928571428571429,0.5346815442312336,0.10863904938488789,0.27622264369616906,3.1891440335821217,61,19
44,mean_z,1,0.05,1,0.7826121794871795,0.75,0.7619047619047619,0.5238095238095238,0.1334205418368263,0.33557721082837133,2.9654797092944185,64,16
45,mean_z,1,0.1,10,0.8023674242424241,1.0,1.0,1.0,0.15473824644677175,0.20654966679564093,10.391293494438713,74,6
46,mean_z,2,0.05,10,0.8085813492063493,0.7727272727272727,0.7952380952380952,0.5523398999523437,0.13387678414924617,0.18410230028684685,4.281251935773806,58,22
47,mean_z,1,0.1,1,0.8644796380090498,0.6153846153846154,0.6125,0.21957751641341997,0.19510321145547618,0.25981717320460523,10.691033669895507,67,13
48,mean_z,2,0.05,10,0.8631403318903319,0.8235294117647058,0.875,0.6846531968814576,0.14883810724632776,0.3038106773485607,3.974649659454324,63,17
49,mean_z,1,0.05,10,0.8130952380952381,0.8181818181818182,0.8181818181818181,0.647150228929434,0.12861665601129446,0.28130698953201405,3.228229918452681,58,22
50,mean_z,1,0.1,10,0.8430694305694306,0.6666666666666666,0.675,0.35,0.1965825200142245,0.22741813619300708,12.277926894682196,62,18
51,mean_z,2,0.05,10,0.8468163780663781,0.8333333333333334,0.8116883116883117,0.6446583712203042,0.14871363504970037,0.28305809866658976,3.8641723057939106,62,18
52,mean_z,1,0.1,10,0.747787975912976,0.75,0.7857142857142857,0.5976143046671968,0.14476302510688263,0.17890290736755945,10.88259928839601,68,12
53,mean_z,2,0.05,1,0.7751633986928105,0.7142857142857143,0.38461538461538464,-0.14484136487558028,0.12654190285051367,0.2560390357836253,3.76992744505218,66,14
54,mean_z,1,0.05,10,0.8569444444444444,0.8333333333333334,0.8333333333333333,0.6708203932499369,0.15236990699888353,0.32432622665960364,3.3179665551240083,62,18
55,mean_z,1,0.05,1,0.7537280701754385,0.7857142857142857,0.7916666666666667,0.5773502691896257,0.10476237586351332,0.25428906546412683,2.8515111588808217,66,14
56,mean_z,2,0.05,10,0.839055735930736,0.6666666666666666,0.65,0.31622776601683794,0.15833152669886894,0.2995793219896073,4.569561214294355,71,9
