fold,best_representation,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test,best_C
0,mean_z,0.8139880952380953,0.8125,0.8125,0.629940788348712,0.30943892735845274,0.3288546574413635,3.8583420584656976,64,16,0.1
1,mean_z,0.8184523809523809,0.9375,0.9375,0.8819171036881969,0.26729069658055027,0.2956434775838253,3.8398561922814607,64,16,0.1
2,mean_z,0.9387400793650794,0.5625,0.5625,0.1259881576697424,0.4120299630356135,0.4408683120230176,3.7791689557217656,64,16,10.0
3,mean_z,0.8392857142857143,0.875,0.873015873015873,0.746031746031746,0.3048676459426624,0.32830996968874976,3.7586686353507797,64,16,10.0
4,mean_z,0.7668650793650793,0.9375,0.9285714285714286,0.8783100656536799,0.2901556050501187,0.3166544923613101,3.69581975571852,64,16,1.0
5,mean_z,0.8722718253968254,0.6875,0.6875,0.40451991747794525,0.3718501243641568,0.387615776931846,3.7817146420953374,64,16,10.0
6,mean_z,0.8226686507936507,0.875,0.875,0.7745966692414834,0.250490770533448,0.2889492545074667,3.8592824830706562,64,16,1.0
7,mean_z,0.8601190476190477,0.8125,0.8125,0.629940788348712,0.3438209944566666,0.37177645949445753,3.682514474328066,64,16,0.1
8,mean_z,0.7958829365079365,1.0,1.0,1.0,0.3124607459867711,0.34389833587532553,3.7187647680282674,64,16,10.0
9,mean_z,0.8137400793650793,0.875,0.8571428571428572,0.7644707871564383,0.28067981607358244,0.2973991988631687,3.8156895057963345,64,16,1.0
10,mean_z,0.8583829365079365,0.75,0.75,0.5,0.2948983927709942,0.3354345873520971,3.8613664366125864,64,16,0.1
11,mean_z,0.830109126984127,0.8125,0.8125,0.629940788348712,0.34941177463724193,0.3709644111272977,3.8613413278272066,64,16,1.0
12,mean_z,0.8578869047619048,0.9375,0.9375,0.8819171036881969,0.32750529841322557,0.3392173578863267,3.5850041669551995,64,16,1.0
13,mean_z,0.8623511904761905,0.8125,0.8015873015873016,0.6180700462007377,0.31858000405357434,0.3450509553926455,3.9602932620750977,64,16,1.0
14,mean_z,0.8020833333333333,0.9375,0.9444444444444444,0.8819171036881969,0.24182328727924235,0.27823216996890826,3.805851295849575,64,16,1.0
15,mean_z,0.820188492063492,0.8125,0.8125,0.629940788348712,0.27361033860626915,0.3166112033307788,3.730438470237658,64,16,0.1
16,mean_z,0.8479662698412699,0.75,0.75,0.5,0.3350674954743299,0.3630495103065028,3.831262770396313,64,16,10.0
17,mean_z,0.7976190476190477,1.0,1.0,1.0,0.28529121366219906,0.30496534065128933,3.692846720823925,64,16,1.0
18,mean_z,0.8454861111111112,0.875,0.873015873015873,0.746031746031746,0.3217870603499075,0.3468218441097271,3.732127203361552,64,16,10.0
19,mean_z,0.8276289682539683,0.8125,0.8174603174603174,0.629940788348712,0.33080787572845555,0.35261058772884524,3.995705357048239,64,16,10.0
20,mean_z,0.8479662698412698,0.875,0.875,0.7745966692414834,0.2976968755715542,0.3255555180811181,3.734086123896577,64,16,0.1
21,mean_z,0.8740079365079365,0.6875,0.6875,0.3779644730092272,0.38025631475565497,0.3937741366598379,3.7466944086038234,64,16,0.1
22,mean_z,0.8717757936507937,0.875,0.875,0.75,0.28587970401138596,0.3201368073224495,3.813473559638035,64,16,1.0
23,mean_z,0.8467261904761905,0.875,0.873015873015873,0.746031746031746,0.28434610657874604,0.3043687267087974,3.722213692075849,64,16,10.0
