fold,best_representation,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test,best_C,best_degree,best_gamma,best_coef0
0,mean_z,0.830109126984127,0.9375,0.9375,0.8819171036881969,0.19193320491017585,0.272065715946762,8.85832207807104,64,16,1.0,3,scale,1.0
1,mean_z,0.816220238095238,0.9375,0.9375,0.8819171036881969,0.1537522518826546,0.22785440177405888,8.187741745900475,64,16,0.1,3,scale,1.0
2,mean_z,0.9288194444444444,0.5625,0.5625,0.1259881576697424,0.23559580466518432,0.40749102046455143,5.383196809291162,64,16,10.0,2,0.1,1.0
3,mean_z,0.8410218253968254,0.8125,0.8174603174603174,0.629940788348712,0.17850481980477162,0.3077725811794853,5.679786254106724,64,16,1.0,2,scale,1.0
4,mean_z,0.8003472222222222,1.0,1.0,1.0,0.1755151950158652,0.2555539942141284,7.033635539202241,64,16,1.0,3,0.1,1.0
5,mean_z,0.8883928571428572,0.8125,0.8125,0.629940788348712,0.2229262115466096,0.3673169642874234,5.589292128556689,64,16,1.0,2,scale,1.0
6,mean_z,0.8149801587301587,0.875,0.875,0.7745966692414834,0.1426176305014719,0.22908774768018075,8.419830470141338,64,16,1.0,3,scale,1.0
7,mean_z,0.8717757936507937,0.8125,0.8125,0.629940788348712,0.20069818702376802,0.3450696168311908,5.337981438884097,64,16,1.0,2,scale,1.0
8,mean_z,0.8177083333333333,0.9375,0.9285714285714286,0.8783100656536799,0.20395480549057365,0.20401941551800634,5.706484905205354,64,16,10.0,3,scale,0.0
9,mean_z,0.7946428571428572,0.75,0.7301587301587301,0.49265895172303803,0.05215289780502854,0.12208183869288695,7.788374899000248,64,16,10.0,2,1,1.0
10,mean_z,0.8583829365079365,0.6875,0.6875,0.3779644730092272,0.1678139265314377,0.3086027039183914,5.209498265297628,64,16,0.1,2,scale,1.0
11,mean_z,0.8601190476190476,0.875,0.875,0.7745966692414834,0.20313258868779585,0.33780552481967097,5.851820473290138,64,16,1.0,2,scale,1.0
12,mean_z,0.8283730158730158,0.875,0.875,0.75,0.20095020715762418,0.32253565210306523,5.988079623060474,64,16,1.0,2,scale,1.0
13,mean_z,0.8449900793650793,0.8125,0.8015873015873016,0.6180700462007377,0.17114183029013694,0.3208237617701727,5.381576362475168,64,16,1.0,2,0.1,1.0
14,mean_z,0.8315972222222222,0.9375,0.9444444444444444,0.8819171036881969,0.14879259194356848,0.23401078555966628,8.27548865927726,64,16,0.1,3,0.1,1.0
15,mean_z,0.8559027777777778,0.8125,0.8125,0.629940788348712,0.16373106767534854,0.25297680229922853,6.974197930637798,64,16,1.0,3,0.1,1.0
16,mean_z,0.8931051587301586,0.8125,0.8125,0.629940788348712,0.1921784852324547,0.3362691465463227,5.394685523934997,64,16,10.0,2,scale,1.0
17,mean_z,0.7837301587301588,1.0,1.0,1.0,0.16948003863922634,0.2855948099807157,6.097672116751055,64,16,1.0,2,scale,1.0
18,mean_z,0.8472222222222222,0.875,0.873015873015873,0.746031746031746,0.18813036217042073,0.3290693833739361,5.444054399536246,64,16,1.0,2,0.1,1.0
19,mean_z,0.8276289682539683,0.875,0.8888888888888888,0.7777777777777778,0.19037266570647482,0.32618355589277853,6.178572968971217,64,16,1.0,2,scale,1.0
20,mean_z,0.8306051587301586,0.875,0.875,0.7745966692414834,0.17528950139888957,0.30367165355680253,5.674895784653192,64,16,1.0,2,scale,1.0
21,mean_z,0.8601190476190477,0.8125,0.8125,0.629940788348712,0.22319798025418103,0.3586582904541882,5.916146742931771,64,16,1.0,2,scale,1.0
22,mean_z,0.8427579365079365,0.875,0.875,0.75,0.16089619463027865,0.29441776479837706,5.1453803646242005,64,16,1.0,2,0.1,1.0
23,mean_z,0.8333333333333333,0.9375,0.9444444444444444,0.8819171036881969,0.18992137599494482,0.2689322990216771,9.174957279856878,64,16,0.1,3,scale,1.0
24,mean_z,0.8120039682539683,0.8125,0.8174603174603174,0.629940788348712,0.2402927700462212,0.24670317409385215,8.427348633958276,64,16,0.1,3,1,0.0
25,mean_z,0.8740079365079365,0.8125,0.8125,0.629940788348712,0.05949578200129668,0.1271261254937016,8.220263178098044,64,16,0.1,2,1,1.0
26,mean_z,0.8405257936507937,0.8125,0.8125,0.629940788348712,0.17385991456528857,0.3108019854066741,5.609881521428557,64,16,1.0,2,scale,1.0
27,mean_z,0.9074900793650793,0.75,0.75,0.5,0.18761241138212678,0.2695945845981404,7.442000002778541,64,16,1.0,3,scale,1.0
28,mean_z,0.8298611111111112,0.8125,0.8015873015873016,0.6180700462007377,0.21400652113075277,0.36637162417916114,5.22986654562606,64,16,0.1,2,scale,1.0
29,mean_z,0.8097718253968254,0.9375,0.9444444444444444,0.8819171036881969,0.12737512559063605,0.2507313510297944,5.4199809749629315,64,16,10.0,2,scale,1.0
30,mean_z,0.8901289682539683,0.8125,0.8125,0.674199862463242,0.2351067148231202,0.38237033887160204,5.751645705691132,64,16,10.0,2,scale,1.0
31,mean_z,0.8340773809523809,0.9375,0.9375,0.8819171036881969,0.16332355591259107,0.28020559676162127,6.0449191766406285,64,16,1.0,2,scale,1.0
32,mean_z,0.8462301587301588,0.875,0.875,0.75,0.18179058319054384,0.3153833858560808,5.857105077521984,64,16,1.0,2,0.1,1.0
33,mean_z,0.875,0.8125,0.8015873015873016,0.6180700462007377,0.1884202656686294,0.2717779628840061,8.058047129749882,64,16,0.1,3,scale,1.0
34,mean_z,0.8097718253968254,0.9375,0.9285714285714286,0.8783100656536799,0.18981362800051874,0.27414301619927306,8.396296209447623,64,16,0.1,3,scale,1.0
35,mean_z,0.8306051587301587,0.875,0.875,0.75,0.18454319052704204,0.307568759980858,6.125429377657127,64,16,1.0,2,scale,1.0
36,mean_z,0.8556547619047619,0.875,0.875,0.75,0.21909347104459612,0.29840180988753,7.927513403870212,64,16,0.1,3,scale,1.0
37,mean_z,0.8444940476190476,0.6875,0.6875,0.3779644730092272,0.20984736944457602,0.3649333473017261,5.589208044005797,64,16,1.0,2,scale,1.0
38,mean_z,0.8449900793650793,0.875,0.8888888888888888,0.7777777777777778,0.1778514510369963,0.25251309072031425,9.347413082332787,64,16,1.0,3,scale,1.0
39,mean_z,0.7981150793650793,0.875,0.8888888888888888,0.7777777777777778,0.17005708796523356,0.24933186206099583,7.933531224827541,64,16,1.0,3,scale,1.0
40,mean_z,0.8596230158730158,0.875,0.875,0.7745966692414834,0.1695279450856406,0.250438168989282,8.397026089780203,64,16,0.1,3,0.1,1.0
41,mean_z,0.7971230158730159,1.0,1.0,1.0,0.2022671497243692,0.192852490517987,6.185429849544989,64,16,10.0,3,scale,0.0
42,mean_z,0.8856646825396826,0.8125,0.8125,0.629940788348712,0.18497555711715863,0.3147530277913955,5.819311596460282,64,16,10.0,2,scale,1.0
43,mean_z,0.8454861111111112,0.8125,0.8174603174603174,0.629940788348712,0.19499496498603838,0.2675200753607519,9.380598740677321,64,16,1.0,3,scale,1.0
44,mean_z,0.8700396825396826,0.75,0.746031746031746,0.49206349206349204,0.23319422264173673,0.39554482495294807,5.499653286613513,64,16,1.0,2,0.1,1.0
45,mean_z,0.8467261904761905,0.875,0.875,0.7745966692414834,0.1860217022328675,0.2557638535945377,8.51782100581958,64,16,0.1,3,scale,1.0
46,mean_z,0.8784722222222222,0.75,0.75,0.5163977794943222,0.2333237317499126,0.3193297376803745,8.240889005851486,64,16,0.1,3,scale,1.0
47,mean_z,0.8323412698412698,0.875,0.875,0.75,0.19641956262788093,0.3346347332668542,5.625186952787959,64,16,1.0,2,scale,1.0
48,mean_z,0.8392857142857143,0.8125,0.8015873015873016,0.6180700462007377,0.2522826903384262,0.23397300710126742,6.87654831435394,64,16,10.0,3,scale,0.0
49,mean_z,0.8020833333333333,0.8125,0.8333333333333333,0.6831300510639732,0.2062282436657826,0.18914026031460643,7.46211504276849,64,16,10.0,3,scale,0.0
50,mean_z,0.8311011904761905,0.9375,0.9375,0.8819171036881969,0.19552319407916297,0.3260624667735966,5.699972017746731,64,16,1.0,2,scale,1.0
