fold,best_representation,best_reps,best_bandwidth,best_C,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test
0,mean_z,1,0.2,1,0.8479662698412698,0.75,0.75,0.5,0.11917676443861336,0.31957716660597174,3.1861712813,64,16
1,mean_z,1,0.1,10,0.8184523809523809,0.9375,0.9375,0.8819171036881969,0.030594137034157736,0.29360624494098586,1.3876790966725099,64,16
2,mean_z,1,0.2,1,0.9074900793650794,0.625,0.625,0.2581988897471611,0.14854622974303835,0.4359896124602449,3.072744456275547,64,16
3,mean_z,1,0.1,10,0.8392857142857143,0.9375,0.9285714285714286,0.8783100656536799,0.031908360568302346,0.32550306603421447,1.4106059886124147,64,16
4,mean_z,1,0.2,10,0.8137400793650793,1.0,1.0,1.0,0.09638311115087068,0.30199607556276975,2.9554084562313023,64,16
5,mean_z,1,0.1,10,0.8883928571428572,0.8125,0.8125,0.629940788348712,0.04191911067646838,0.3866263683568194,1.410955621940641,64,16
6,mean_z,1,0.2,1,0.8601190476190476,0.8125,0.8125,0.674199862463242,0.0964488305085071,0.2836743977395388,3.093089806725369,64,16
7,mean_z,2,0.1,10,0.8856646825396826,0.75,0.75,0.5163977794943222,0.03447838913782454,0.3748976963842049,1.3738984238180683,64,16
8,mean_z,1,0.2,10,0.8293650793650793,0.9375,0.9444444444444444,0.8819171036881969,0.1046848773158061,0.32791710625004683,2.931978305962931,64,16
9,mean_z,2,0.2,10,0.7998511904761905,0.8125,0.8015873015873016,0.6180700462007377,0.05127795259736573,0.2324485047848574,2.615424365445432,64,16
10,mean_z,1,0.2,1,0.8740079365079365,0.6875,0.6875,0.3779644730092272,0.1166241318867672,0.32380119081037906,3.1771761408871737,64,16
11,mean_z,1,0.2,10,0.8340773809523809,0.8125,0.8125,0.629940788348712,0.11814909372740667,0.3598472486834834,2.86005176679357,64,16
12,mean_z,2,0.1,10,0.8422619047619048,0.875,0.875,0.7745966692414834,0.03349833853794016,0.3367634911517483,1.4027372746082267,64,16
13,mean_z,1,0.2,1,0.8740079365079365,0.8125,0.8015873015873016,0.6180700462007377,0.10076077667850464,0.32703427260949636,2.906812330293325,64,16
14,mean_z,1,0.2,1,0.8003472222222222,0.9375,0.9444444444444444,0.8819171036881969,0.09278686220799588,0.27175006454435563,3.223451375367376,64,16
15,mean_z,1,0.2,1,0.835813492063492,0.875,0.875,0.75,0.1091725895407286,0.306746648343499,3.133849135377873,64,16
16,mean_z,1,0.2,10,0.8896329365079365,0.8125,0.8125,0.629940788348712,0.1153271088889189,0.3470982925589204,2.916922764078539,64,16
17,mean_z,1,0.1,10,0.8110119047619049,1.0,1.0,1.0,0.03508209619487786,0.30268171278254336,1.4367996826020766,64,16
18,mean_z,1,0.2,10,0.8472222222222222,0.875,0.873015873015873,0.746031746031746,0.11384441006111322,0.33267888255032524,3.144488686140311,64,16
19,mean_z,1,0.1,1,0.8415178571428572,0.6875,0.6746031746031746,0.3578300267477955,0.029945659042805026,0.35256751368744843,1.3644576427299693,64,16
20,mean_z,1,0.1,10,0.8479662698412698,0.875,0.875,0.7745966692414834,0.03324353388362702,0.3243211995134243,1.3851690922365838,64,16
21,mean_z,1,0.1,10,0.8583829365079365,0.6875,0.6875,0.3779644730092272,0.04036631543051723,0.39463096357319666,1.3865994278012745,64,16
22,mean_z,1,0.2,10,0.8896329365079365,0.8125,0.8125,0.629940788348712,0.10278278897380684,0.31030851421921024,2.9452581270051277,64,16
23,mean_z,1,0.1,10,0.8467261904761905,0.875,0.873015873015873,0.746031746031746,0.031038094171756632,0.3033862036406211,1.432899318123117,64,16
24,mean_z,1,0.1,10,0.8333333333333333,0.8125,0.8333333333333333,0.6831300510639732,0.03196843646326098,0.35282710570092074,1.3793544050339583,64,16
25,mean_z,1,0.1,10,0.8601190476190476,0.875,0.875,0.7745966692414834,0.03629134231461576,0.35216107170061184,1.4006173463801612,64,16
26,mean_z,1,0.1,10,0.8405257936507937,0.8125,0.8125,0.629940788348712,0.03615500596384948,0.3374110255613182,1.4033322655573284,64,16
27,mean_z,1,0.2,10,0.8896329365079365,0.75,0.75,0.5,0.11533650671524082,0.3388188205034479,3.022704349969137,64,16
28,mean_z,1,0.1,10,0.8298611111111112,0.8125,0.8015873015873016,0.6180700462007377,0.03834846624140215,0.38205415275542287,1.414463838014788,64,16
29,mean_z,1,0.2,1,0.7971230158730158,1.0,1.0,1.0,0.08348325669764887,0.2606231094481558,3.012844376240754,64,16
30,mean_z,1,0.2,10,0.9057539682539683,0.6875,0.6875,0.3779644730092272,0.13577021389266167,0.4006037380758037,2.9962529618904714,64,16
31,mean_z,1,0.2,10,0.8501984126984126,0.875,0.875,0.75,0.09496830355530828,0.29411201381795643,2.9084793407677307,64,16
32,mean_z,1,0.1,10,0.8757440476190477,0.875,0.875,0.75,0.03725031491578739,0.33887860601300007,1.4231054823492917,64,16
33,mean_z,1,0.2,10,0.8571428571428572,0.8125,0.8174603174603174,0.629940788348712,0.10592313821166563,0.3080252099379972,3.183914149140651,64,16
34,mean_z,1,0.1,10,0.7958829365079365,0.9375,0.9285714285714286,0.8783100656536799,0.027852307365292046,0.30478219420402003,1.3703286409955082,64,16
35,mean_z,1,0.2,10,0.8618551587301587,0.8125,0.8125,0.629940788348712,0.11782867947076228,0.32249073654057114,3.184307860171748,64,16
36,mean_z,1,0.1,10,0.8377976190476191,0.8125,0.8125,0.629940788348712,0.040690652639563694,0.36538554519998534,1.4152919135074489,64,16
37,mean_z,1,0.2,1,0.8658234126984127,0.6875,0.6875,0.3779644730092272,0.13277030036926185,0.3834231498792427,3.0568967537805167,64,16
38,mean_z,1,0.1,10,0.8472222222222222,0.9375,0.9444444444444444,0.8819171036881969,0.026357764673218764,0.2990456006084619,1.3754059914350965,64,16
39,mean_z,1,0.2,10,0.7963789682539683,0.9375,0.9444444444444444,0.8819171036881969,0.09125159018659781,0.2919235139078561,2.9332287920671676,64,16
40,mean_z,1,0.1,10,0.8578869047619048,0.875,0.875,0.7745966692414834,0.034041765589789295,0.303702836406256,1.427688465180284,64,16
