fold,best_representation,best_reps,best_bandwidth,best_C,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test
0,mean_z,1,0.05,10,0.8005952380952381,0.9375,0.9375,0.8819171036881969,0.12016811904182066,0.26779323816584755,3.154089552292381,64,16
1,mean_z,1,0.05,10,0.784970238095238,0.9375,0.9375,0.8819171036881969,0.1043290033233328,0.25139324883697484,3.042395247775742,64,16
2,mean_z,1,0.05,10,0.9503968253968255,0.625,0.625,0.2581988897471611,0.1571518941785813,0.390547219218756,2.9973982275753146,64,16
3,mean_z,2,0.05,10,0.8588789682539683,0.6875,0.7063492063492063,0.42289003161103106,0.1343712155841026,0.257259251569615,4.345147323525439,64,16
4,mean_z,1,0.1,1,0.7802579365079365,0.875,0.873015873015873,0.746031746031746,0.15378720651446023,0.20342933151962678,10.378303213104614,64,16
5,mean_z,1,0.05,10,0.8583829365079365,0.6875,0.6875,0.40451991747794525,0.14244194210248234,0.32599350282825,3.10672124557329,64,16
6,mean_z,2,0.05,10,0.7993551587301586,0.875,0.875,0.7745966692414834,0.11901363127875492,0.24150904237087992,4.2466465151406405,64,16
7,mean_z,1,0.05,10,0.8561507936507936,0.8125,0.8125,0.629940788348712,0.15037659310123555,0.35062747676002637,3.1004469679811386,64,16
8,mean_z,1,0.1,1,0.7924107142857143,0.875,0.873015873015873,0.746031746031746,0.14895899155440587,0.199025454142609,9.518469605229178,64,16
9,mean_z,2,0.1,10,0.8315972222222222,0.8125,0.7857142857142857,0.6546536707079771,0.13467381500563064,0.16807184308364748,15.343359847478096,64,16
10,mean_z,1,0.05,10,0.8266369047619048,0.875,0.875,0.7745966692414834,0.11840947546068512,0.277577936621266,3.0841551171401793,64,16
11,mean_z,1,0.1,1,0.8249007936507937,0.8125,0.8125,0.629940788348712,0.18825033683291123,0.23959678954786484,10.070044601044604,64,16
12,mean_z,1,0.05,10,0.8578869047619048,0.8125,0.8125,0.629940788348712,0.1469742222883678,0.32276780843836567,3.292668068564849,64,16
13,mean_z,2,0.05,10,0.8249007936507937,0.8125,0.8174603174603174,0.629940788348712,0.11807098051746334,0.2562006271424099,3.844310291289752,64,16
14,mean_z,1,0.05,10,0.8003472222222222,0.875,0.8888888888888888,0.7777777777777778,0.09789342870635497,0.23747155244042803,3.160898766822737,64,16
15,mean_z,1,0.05,10,0.8635912698412698,0.6875,0.6875,0.3779644730092272,0.12410401742408851,0.28398452066660107,3.1063141736642286,64,16
16,mean_z,1,0.05,10,0.8306051587301587,0.8125,0.8125,0.629940788348712,0.1312031386843908,0.3162507686555215,3.042180243299476,64,16
17,mean_z,2,0.05,1,0.7524801587301587,0.875,0.875,0.7745966692414834,0.13139559543670826,0.23940596859892657,4.400114619529187,64,16
18,mean_z,1,0.05,10,0.8454861111111112,0.875,0.873015873015873,0.746031746031746,0.1221167067665211,0.29957821592876716,3.121286301189445,64,16
19,mean_z,1,0.1,1,0.8154761904761905,0.8125,0.8174603174603174,0.629940788348712,0.15956839714798757,0.2163498043491154,9.825216964569488,64,16
20,mean_z,1,0.05,10,0.8306051587301586,0.875,0.875,0.7745966692414834,0.12494972870839345,0.291592007681076,3.049931632551473,64,16
21,mean_z,1,0.1,10,0.784970238095238,0.8125,0.8125,0.629940788348712,0.16705286205790998,0.2171654784431921,9.861654388104867,64,16
22,mean_z,2,0.05,10,0.8601190476190476,0.8125,0.8125,0.674199862463242,0.11676970340413617,0.25222247484983895,3.9168808168651545,64,16
23,mean_z,1,0.05,1,0.7881944444444444,0.75,0.746031746031746,0.49206349206349204,0.1178591796489339,0.2799808126950561,3.2265718922057895,64,16
24,mean_z,2,0.05,10,0.7986111111111112,0.875,0.8888888888888888,0.7777777777777778,0.15384728590084898,0.3039066861688573,4.12787168678799,64,16
25,mean_z,2,0.1,10,0.8110119047619048,0.75,0.75,0.5163977794943222,0.15148206110592125,0.1849553821512672,15.253047260473334,64,16
26,mean_z,1,0.1,1,0.8249007936507937,0.8125,0.8125,0.629940788348712,0.17397900384382517,0.21339850921041356,11.348337341700383,64,16
27,mean_z,1,0.05,10,0.8601190476190477,0.8125,0.8125,0.629940788348712,0.13042043452433885,0.304403199825016,3.0913053049132713,64,16
28,mean_z,1,0.1,1,0.8415178571428572,0.625,0.6349206349206349,0.2698412698412698,0.20062269584527062,0.26105483188373174,11.09328905510625,64,16
29,mean_z,2,0.05,10,0.7963789682539683,0.8125,0.8333333333333333,0.6831300510639732,0.10526597580547739,0.22377771357118276,3.998241059799802,64,16
30,mean_z,1,0.05,10,0.8606150793650793,0.6875,0.6875,0.3779644730092272,0.13665764443802364,0.3314517876570166,2.977272532421411,64,16
31,mean_z,1,0.1,10,0.7733134920634921,0.875,0.875,0.75,0.14040769858165683,0.1817073474167485,9.944944402591688,64,16
