fold,sha1
0,e54c6dc00f42bb2cd9ee0b928fa2e61de5d7e022
1,ece0ec334f2af8dc7a5294ce2f3ddc890cf37739
2,b407b2037764aace00b663d70796838938f75125
3,7a66c33b6c4c734095a64d059e30b874fb6e517f
4,ec02525c84cdcc002455ba6c21b9357546b41ad0
5,7da8c6db8ee15e0073ccbdabbf5183217fb70b23
6,0f7ad9d2f845e3bc42572fc17e9dcbabe3b129ad
7,da937dec4b0774162dbfeb04d781e1e90e9de575
8,e1d23de3697e8e36b922c60a6b32071a510e82b1
9,96518b1deca9eaef63c0dc247f9b8d15b256e1db
10,74470841d251280827ceb661ca681f87b5cc4192
11,ac5d718d99769aea205eae02ea1377bd3eb0d8a7
12,1df90d83ce5d3de70707c0aecd2d594bb3e85848
13,349c34cf4cc28b7393cd6a31f93905464925d9ea
14,4d1c7d175cf2f2aca14b5f9cc5af86647aab2654
15,5abfa5dcc13c814fc584c2987bef48a6bc7fced9
16,abb6ff652ecfe88fc91845e753fae83ce66f70fe
17,991d0c05d4e68e0a4ee6a1c26318c4acb77b67a4
18,aa29c3406f96f4de93b57ff062cd1d1eabcc634b
19,32360757ca319247b6693240cf7b2aa48b376c2a
20,ad64d7633469c061846974da278d5697f6dd3419
21,79e0a8f5f52658d1928a7b11bda015b5b5d9162a
22,1fb7a0e8a1e676cf6c6910df8a312c1cb8219080
23,b098e569eb262163cacc6ddfe412b18286ef9d8a
24,abca4733bb04c49837e428f290ca06591706158d
25,7b23714d391909df02c74c3e61b0764733a6dc57
26,d673159a29d4ce0132330761c0d1cf97540bad0d
27,2a865c79509bd2159d6da435c9a2c18455fde49c
28,c2b326b9202e9a47e883db057c7c176125b5974f
29,6d3919ddfae1b5ee970d157bf17323f867a13928
30,aab95837be25dfe72211a146e515e76c70fb0308
31,ea98ce191f0738ce4f89804006de9c6038caf397
32,9a2b5cfc6d92e614462e1c38bcc2bc780c5bb03c
33,0fe62fa450929a3f46045c993181afda6fafa9ae
34,ae7070bf5592878aaad86de1f9d9f632261c0092
35,f95caf40cb914fef3258785a64e45821f450d18d
36,6e094e4029ef49cc756923e5ae5906284f7b3872
37,5d5389650808189225b710278253afbec0f041f2
38,0c804dd7c3b2fa1e5f0bc4541a65d8e43b2ec8c5
39,649e834dabb7abb99e381ee164d07ad4d7e94812
40,9b8e68077e897a1f534ed6a14c038dab1e4e33f9
