fold,sha1
0,db85fe18ebbcf798ee57fcca57df5868f9a8182b
1,2f30f815e44cba721d46577fd275f69993c3fdd9
2,3c23c6f7f09bedea73eeaf38222fc933563d7c4e
3,1b398907c0b8ce3b678ffbc92f52798199d0a303
4,985b5e1f378f3161b3c1ff8d7a4733c68ff55022
5,46b331fb132f299b6939e14427128c27ae3d9a8d
6,49bbbbae82164e34ae0ac9467916f16679909ac6
7,5fb22a2cf0452d094c07f704ffc7207fdfa738c1
8,19713ea9d0ea7969649d42508e97660025b6acd8
9,11853a92b9f2fa4a9b6256fb1d7232dd51520c35
10,2306e7c7444e8b59198591fd18d887731060398b
11,5d33d8196b3dd36547384ae3218c6904d94be68c
12,d95f656115e8ecc6c053e2ffac619e8b8c0c4b5b
13,2f1b4984e8427c2c3ec824c848ffdabe36b3ed39
14,518720d7e2d440265f55d1e1b51e2f79d14b1eab
15,d57107c939d0226dbd447103111701a6ea17fce0
16,50487719da6a1338570d0db4fca03971cc1a3300
17,94262220300f51465de0e916652de29ad9a34943
18,ec4b83fae90b07a5271bae95755974c0d1558b5c
19,c002bcea5ddd83b10f2f26b43db426ded2930d9e
20,31396fdf9c47949342afa868e8ffc76286960dc3
21,94c21ad070de9c0864d764e5c782cc100a767850
22,2769ff2eb17e35a33cafd8ba6d72d8848b66d4db
23,9e44af4f2a936c706e1f8c41ec25a6b97973bb1b
24,259d98ed7b338744aa48d27c722a250025a110d2
25,6f07df592531511c2c43eba870d173197b841cf2
26,05b311aba1cfc21dd9979abd9f7fe18691bd777c
27,b419cf04d920b33377100612857907db9d7be8c4
28,e47c08f542456ae55c7831055a8db02eec0c777b
29,4a7ad398072af931c5645df7765d9f7efe1f9ded
30,b079f1138b1ddfbf478c3957e07bf7744e938aa6
31,6930aa5262b974accb568b898928a8c026816a8c
32,967b9bf134a50edbfaf4a59fc1a911c0c9f3bbd2
33,caf42480a3a193eafa2f04cedad23609fe173926
34,51d162910cbcef55371e6e3cf99af6b4d6ade72d
35,d027143b54bfc16575d21861e36e4fc9135ce380
36,f482bdec4402eb4045c6da957be8fc996808a69b
37,7c02f7fd6e64807873481a39d4b9f7160ff03a19
38,43b06068439996ad221f7b9c4e0b07bdd6844c9d
39,384ff03eea66c7aa140881637ff5d0af4f074db7
40,90cbbd51a7b5b6d6bd118425ea7bc497edca6aa2
41,0ca6496c49431a6fab95bc55d42a58d637d1f268
42,ed0fc0f99a697c00af59f5f0bb8df0af5c5f04cf
43,388e6977322681630ae88942b5e201f29130d2d7
44,c2663b3a4971fccd862e56e75874db2ca6b4ded4
45,c11212a569e99a305674cc069fc69633f192ceda
46,dd184dc56b80c161b689e7ea62ffa2aadf9763c7
47,6f9fa312f3bad3db75c4077d9a4e586eb4e89847
48,8f97e0650343804fce220c71beae4a9963b8b71c
49,867ec3545ce40ee8165fe783245a30cafddc4c66
50,25dd30d5c8f86e1162b40eba13b6b99a8b0280ab
51,d51de783cb9d5f87d5c07148caacda59a83f7319
52,356d230605e5c3e519f1cd6eb8c608e8fff34ba2
53,d1406645d126dcdf040857f8e088d8e7561ae9fd
54,f63e3af419f4f46771e01b9b6fb13bae3329d884
55,198510c54a7c7fb59520be0edca4ff0f982ee5f8
56,4f45eeea87799d92c3ff164dcb2003d0d2e8a065
57,d390f660e766258e97f2cd8bdba3c402415e5af9
58,e039ff9d6dfa47ee386c2ac4b9224633e2b95697
59,cb5037ac23ca238970f0961ce0038dd67c16dd8d
60,c8c207af68c0de107ba213846fbe708e7c7bd82f
61,ac830e9668779d333084b7a20ba95da1ed0b2e47
62,7c2b1f7bd19ed67c40c004cb5fc7eafa9e95a8de
63,97db2360279ce678e069abfa24e4c7182ea41994
64,8b7eca52ba53ad78a799497d3e3518b6a3dd87fb
65,95f52cd7c39aa6da97a4660cb76c468743f09469
66,c915236df45b6c3473754361a5c1402a3cdf6f8b
67,99f38e305370baa808cee6be0515e98a079af77f
68,382d241283fdba4d0f958d612cab66253501bd27
69,17612e067144781bebc4c2350aa28d865bf759de
70,fe24326b733956e77e513b63727425a340854ac3
71,4e46f669a37946038d6562fb0f56c4d8cf488022
72,4b7b411bc695ad2115a404f562d2190707d37aaa
73,c08dbf481ae4152cdca1597c50a087b5196dceac
74,49103fa8358aca26bd085d00f7a8c98fc9f07eb3
75,8f45ca8bac5464b1bee01306da54d2698628322f
76,9a3483ef6a6e816665666598766ad8c1546e4e2b
77,ba7edfd9461648549daf043a0e2d318ed1785659
78,0c8e3628bb2e4884e6eeaa5b5e3466e9b8d8d095
79,c7d7d4293d8d25267eb41a83ffc03d6695843784
80,78d0c063ea58ca24b5dfa3e797bb92c836fdde35
81,61b1361597b37f652e59cbb5e95782ac4f8b4d70
82,5b9088bbf14282a3f4c46fe7bf56d25354080fff
83,d36d1eb1888c7bfe97a213f4dce07507e2efffac
84,cadd525d8edec476d6555ff1da764f213babec78
85,a1b814532a0dd6812e1dece8523035a6832afaf0
86,582b6ab72d9a0f8a8d9beaa0ad5b0fbba4bdbf5d
87,7d0f3712a2e517911a39940c17900ba9c7a35289
88,acab61fb9ec08d71a9907d5d47d8424933771174
89,30481bf3908f8ebc82e4926ff8f47c6b1b337137
90,3acb3bf0055c1a30d6ab428184b0f04ef0712b91
91,20226c0702377ea3db2e7bd60af54531e8dd60b9
92,7004d1120b28373cf77383cb31390232e9f26c2c
93,f2dc198ac382fe9f3c00b6542c26a860a20f32bb
94,a4dd6369e9d9fd6ff47a0b97302dfc691e744ff6
95,d1ef339f2cf641b605e14f1e835e611df757fb9b
96,10d5afcbf4e892d5ebb424a3a0eb2d2f09355a2f
97,129d53383243b46588aa3879cabb6a9fae2f3060
98,2a97fb6e41c4c197f86b233c559768cf8b322721
99,7268c65573ff78afd2aacfbb1247620aa9063bff
