fold,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test,best_C,best_gamma
0,0.5625,0.5625,0.1259881576697424,0.0498206216161898,0.07562111814243393,10.97922850495647,16,10.0,scale
1,0.6875,0.6875,0.3779644730092272,0.05206945913800601,0.0831036234385954,11.502279818862258,16,10.0,scale
2,0.625,0.625,0.2581988897471611,0.12990478250526577,0.13184603324445732,47.64024709423829,16,1.0,0.1
3,0.6875,0.7222222222222222,0.5091750772173156,0.11023108504011048,0.11285785014266184,46.981760913084244,16,1.0,0.1
4,0.5625,0.5158730158730158,0.047619047619047616,0.11971503819749381,0.12388717304535866,48.52617691737506,16,1.0,0.1
5,0.625,0.625,0.2581988897471611,0.049367439314488316,0.07815477137428818,11.00782352899353,16,10.0,scale
6,0.375,0.375,-0.25,0.12910242131134714,0.13183217614776221,49.164727445830515,16,10.0,0.1
7,0.6875,0.6875,0.40451991747794525,0.11079215000380116,0.11278645435981752,47.22937257875517,16,1.0,0.1
8,0.4375,0.45238095238095233,-0.09759000729485331,0.11185118649907487,0.11473668753032339,46.275405745313506,16,1.0,0.1
9,0.5,0.47619047619047616,-0.050964719143762556,0.04220691757743765,0.07348694401884055,10.9667727372169,16,10.0,scale
10,0.6875,0.6875,0.3779644730092272,0.11653586137536022,0.11856247227486495,49.75200661357853,16,10.0,0.1
11,0.75,0.75,0.5163977794943222,0.04613818707369722,0.07508023228939735,11.30134574402676,16,10.0,scale
12,0.625,0.625,0.2581988897471611,0.05383629500644792,0.08498167504133174,10.924173490646519,16,10.0,scale
13,0.5625,0.5,0.0,0.12133698153881627,0.12296253585939428,58.3411531150742,16,0.1,1
14,0.5625,0.5793650793650793,0.16265001215808886,0.049617902230221035,0.08453462976873015,11.12462150320809,16,10.0,scale
15,0.4375,0.4375,-0.13483997249264842,0.05486929072663696,0.08764537904698334,11.292179747501814,16,10.0,scale
16,0.5,0.5,0.0,0.12307349000511543,0.12727767013695468,46.322673107910475,16,1.0,0.1
17,0.5,0.5,0.0,0.05158234012707271,0.07632692437259662,11.614098440491114,16,0.1,scale
18,0.5,0.47619047619047616,-0.050964719143762556,0.04566258524424632,0.08038412139753105,10.775711283548803,16,10.0,scale
19,0.75,0.7619047619047619,0.5238095238095238,0.042584656627887005,0.071230411199317,11.070134006446679,16,10.0,scale
20,0.5,0.5,0.0,0.13166797289773502,0.13501132035546162,50.366103583625346,16,1.0,0.1
21,0.375,0.375,-0.2886751345948129,0.12244431575911288,0.1251078062754761,45.98759335529604,16,1.0,0.1
22,0.5625,0.5625,0.2581988897471611,0.12255272054793526,0.1241425743697045,57.56109864520297,16,1.0,1
23,0.75,0.7619047619047619,0.5238095238095238,0.03953234478944639,0.06891552189173768,10.967939448117097,16,10.0,scale
24,0.625,0.5873015873015872,0.2219167619785609,0.11837668485749221,0.1214152667812131,49.46086140632747,16,1.0,0.1
25,0.3125,0.3125,-0.40451991747794525,0.023189676892219922,0.05816340759226945,3.603106858435126,16,10.0,0.01
26,0.5,0.5,0.0,0.11811578643994147,0.12003446841155126,49.06840637620308,16,1.0,0.1
27,0.5625,0.5625,0.2581988897471611,0.12022678408196803,0.12227847710769449,59.15166635876303,16,1.0,1
28,0.5625,0.5476190476190476,0.09759000729485331,0.04604345935854313,0.07907865951110796,11.150339256502635,16,10.0,scale
29,0.5625,0.5793650793650793,0.16265001215808886,0.04212121306157915,0.07179814853053512,10.459790651361418,16,10.0,scale
30,0.375,0.375,-0.25,0.12257104408045039,0.12536773346548044,46.88585486629357,16,10.0,0.1
31,0.5625,0.5625,0.13483997249264842,0.022201244470530408,0.06234574941038854,3.5280466906425216,16,10.0,0.01
32,0.6875,0.6875,0.40451991747794525,0.108704834613528,0.11154644092850577,48.25582749874748,16,1.0,0.1
33,0.6875,0.6746031746031746,0.3578300267477955,0.11225576366550352,0.11555573720324612,47.197755706928845,16,10.0,0.1
34,0.5,0.5238095238095238,0.050964719143762556,0.12532234474483217,0.1280776615867603,49.74319001726532,16,10.0,0.1
35,0.5,0.5,0.0,0.12761007791230183,0.1298794342702899,58.80715066630175,16,1.0,1
36,0.5625,0.5625,0.1259881576697424,0.056890690130548136,0.09216168148052782,11.204047301333471,16,10.0,scale
37,0.5,0.5,0.0,0.02420269253162886,0.06302485587929232,3.641802362529821,16,1.0,0.01
38,0.6875,0.6904761904761905,0.3779644730092272,0.11816809378875567,0.12066634745290639,50.89898847343641,16,1.0,0.1
