fold,best_reps,best_bandwidth,best_C,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test
0,2,0.2,1.0,0.5625,0.5625,0.13483997249264842,0.046167465070020994,0.0923567985557162,10.755995114837056,16
1,1,0.5,10.0,0.5625,0.5625,0.1259881576697424,0.11153770335523246,0.11331299211569913,52.782858922162475,16
2,1,0.2,10.0,0.5,0.5,0.0,0.099173504021604,0.11151322908254717,26.868058390456724,16
3,1,0.2,10.0,0.625,0.6666666666666666,0.4236592728681617,0.07768797461856394,0.08958718675037033,27.111966654524366,16
4,1,0.1,10.0,0.5625,0.5317460317460317,0.07273929674533079,0.015613408984543387,0.04882928137303996,3.768091999564538,16
5,1,0.1,10.0,0.6875,0.6875,0.3779644730092272,0.021816923848894734,0.05743019171467026,3.8196772219813333,16
6,1,0.5,10.0,0.5,0.5,0.0,0.12675746025707518,0.12972223482000467,53.549728268042664,16
7,1,0.5,1.0,0.5,0.5,0.0,0.11467327724995738,0.11687166968691605,52.58626151730576,16
8,2,0.2,1.0,0.375,0.38095238095238093,-0.23809523809523808,0.043863886596612583,0.09322637923634965,10.572564633545348,16
9,1,0.2,10.0,0.5625,0.5317460317460317,0.07273929674533079,0.07995773822718864,0.09612450000968112,25.99289765980872,16
10,1,0.5,10.0,0.625,0.625,0.25,0.11321194600979248,0.11571774854794942,55.109296920596734,16
11,2,0.5,10.0,0.5,0.5,0.0,0.11105955875608411,0.1156562514674708,44.83035733586531,16
12,2,0.5,10.0,0.5625,0.5625,0.13483997249264842,0.11487839100305111,0.12229225183664565,44.577634567686985,16
13,1,0.5,10.0,0.5,0.4920634920634921,-0.015873015873015872,0.11419497963618433,0.11670610052108273,52.08354970296468,16
14,1,0.2,10.0,0.5,0.5079365079365079,0.015873015873015872,0.08994734270909073,0.10535794300448686,26.971838060869374,16
15,2,0.2,10.0,0.5,0.5,0.0,0.04125978716912087,0.08168112641544958,11.306300021958547,16
16,1,0.5,1.0,0.5,0.5,0.0,0.12636692219184786,0.13003130533891527,51.906106281079694,16
17,1,0.05,0.1,0.5,0.5,0.0,0.0076053070477376476,0.03988899822009275,1.4419313069904214,16
18,1,0.5,10.0,0.5,0.47619047619047616,-0.050964719143762556,0.12566241556200028,0.12862763220173234,52.83469973416834,16
19,1,0.5,1.0,0.6875,0.6904761904761905,0.3779644730092272,0.11210478696062226,0.11410072825438795,53.81304322733775,16
20,1,0.5,10.0,0.4375,0.4375,-0.16012815380508713,0.13119220760339187,0.1341761964227556,54.310902897683604,16
21,2,0.1,10.0,0.375,0.375,-0.2581988897471611,0.016784033025386693,0.05126257733959343,3.059001469095536,16
22,2,0.5,1.0,0.375,0.375,-0.25,0.11153752635654342,0.1186074950694467,43.38902061809351,16
23,2,0.2,10.0,0.8125,0.7857142857142857,0.6546536707079771,0.03352919082055788,0.07191929722381774,10.537603590119286,16
24,2,0.2,10.0,0.4375,0.4365079365079365,-0.1259881576697424,0.04187999796020913,0.08703055198235153,11.34600520494292,16
25,2,0.5,10.0,0.4375,0.4375,-0.1259881576697424,0.11340739556751099,0.12155007027989158,44.136546324641664,16
26,2,0.2,1.0,0.4375,0.4375,-0.13483997249264842,0.044980647087798725,0.0899960136682869,11.332242950775441,16
27,2,0.2,10.0,0.6875,0.6875,0.40451991747794525,0.040509521148922055,0.08159506861251493,10.98631135088464,16
28,1,0.2,10.0,0.625,0.6031746031746031,0.22084711628963774,0.0873196034090232,0.10245011450593212,26.682993665273024,16
29,1,0.2,10.0,0.625,0.6507936507936507,0.32277655457716287,0.08056437112304979,0.09365442732557516,26.61634380843336,16
30,1,0.2,10.0,0.4375,0.4375,-0.13483997249264842,0.09135789476643626,0.10322417095444072,26.611243662212896,16
31,1,0.1,10.0,0.5625,0.5625,0.13483997249264842,0.023044683552234543,0.06269071075072342,3.6469385857513155,16
32,2,0.2,10.0,0.625,0.625,0.25,0.04132159294890306,0.08261627871159881,10.98673166446762,16
33,2,0.5,10.0,0.75,0.7142857142857143,0.5447047794019222,0.10297319007715883,0.1108147953592336,45.03565437913049,16
34,1,0.2,10.0,0.5,0.5238095238095238,0.050964719143762556,0.09987327192931664,0.11412330557099917,29.17738365263216,16
35,2,0.2,10.0,0.6875,0.6875,0.3779644730092272,0.0436924669509658,0.08596871634657503,11.076104086743499,16
36,2,0.1,10.0,0.5,0.5,0.0,0.02159376811780036,0.07505082593863437,3.2373113709426558,16
37,1,0.1,1.0,0.5,0.5,0.0,0.02517955877878037,0.06335631101439265,3.772425847645909,16
38,2,0.5,10.0,0.6875,0.7222222222222222,0.5091750772173156,0.10650163387046628,0.11360790971433209,45.37213487814148,16
39,1,0.1,10.0,0.5,0.47619047619047616,-0.050964719143762556,0.02136709176064445,0.06977442609934968,3.6631091056829015,16
40,2,0.2,10.0,0.375,0.375,-0.2581988897471611,0.04837523128659097,0.09835900970012798,10.949825939853376,16
41,1,0.2,10.0,0.4375,0.4375,-0.1259881576697424,0.09034831902612875,0.10373762761619901,26.279753559944528,16
42,2,0.2,10.0,0.625,0.625,0.25,0.046735517522513675,0.09367900153804487,10.851055323873371,16
43,1,0.2,10.0,0.6875,0.7063492063492063,0.42289003161103106,0.08943390283645705,0.10397230339109818,29.310814375668194,16
44,1,0.2,10.0,0.625,0.6507936507936507,0.32277655457716287,0.08474542821511805,0.09895801602865996,26.16621979305369,16
45,2,0.2,10.0,0.5,0.5,0.0,0.04580524503251973,0.09218869945454773,11.065917906867506,16
46,2,0.5,1.0,0.5,0.5,0.0,0.10607214016572321,0.11224875765812825,44.9227491413101,16
47,1,0.2,10.0,0.625,0.625,0.25,0.08222004701580307,0.09398863832094996,26.09054313106043,16
48,1,0.2,10.0,0.4375,0.4365079365079365,-0.1259881576697424,0.08766869460010285,0.10240572222032271,26.831327417426547,16
49,2,0.5,10.0,0.625,0.5873015873015872,0.2219167619785609,0.10553828899383004,0.11272639096105355,46.05104230791601,16
50,2,0.5,10.0,0.5625,0.5625,0.13483997249264842,0.11260150863091917,0.11939069948216981,44.45157185746768,16
51,1,0.2,10.0,0.5625,0.5625,0.1259881576697424,0.0894102662758231,0.10092881031902384,27.431689811157412,16
52,2,0.2,10.0,0.75,0.75,0.5163977794943222,0.03898599090852185,0.07722028504777596,10.642871290262494,16
53,1,0.2,10.0,0.5625,0.5634920634920635,0.1259881576697424,0.09562580077015488,0.10983638356548281,27.382198216798965,16
54,2,0.2,10.0,0.6875,0.6746031746031746,0.3578300267477955,0.03747526952852054,0.07791021220274268,11.141082480451919,16
55,2,0.5,10.0,0.5625,0.5625,0.13483997249264842,0.10764382627687076,0.11475376645141815,44.01334228417402,16
56,1,0.2,10.0,0.5,0.5,0.0,0.09829569307114973,0.11064033777338858,27.0678679833722,16
57,1,0.1,10.0,0.5625,0.5625,0.1259881576697424,0.02574546232857889,0.06888561922000336,3.694870599779689,16
58,1,0.2,10.0,0.625,0.6349206349206349,0.2698412698412698,0.08541418132512957,0.09964353122385744,27.238724925580257,16
59,1,0.2,10.0,0.6875,0.6904761904761905,0.3779644730092272,0.08995315505044041,0.10495137642777472,30.469850053966542,16
60,1,0.1,10.0,0.4375,0.4375,-0.1259881576697424,0.02989097110479869,0.08266183632721077,3.7945857695207064,16
61,2,0.1,10.0,0.4375,0.4375,-0.1259881576697424,0.019640012702515874,0.06334833168829151,3.013412276258778,16
62,1,0.5,1.0,0.5,0.5,0.0,0.12539054605106414,0.12747018584184322,54.06537389933552,16
63,2,0.2,10.0,0.625,0.6190476190476191,0.23809523809523808,0.042684047197221985,0.09040921447276011,11.110462377200218,16
64,2,0.2,10.0,0.4375,0.42063492063492064,-0.16265001215808886,0.044725510738821465,0.0950658380420593,10.822507793854577,16
65,2,0.1,10.0,0.4375,0.4375,-0.1259881576697424,0.027817800354409773,0.10226153432105599,3.2395018607559485,16
66,1,0.2,10.0,0.5625,0.5625,0.16012815380508713,0.07755327117075378,0.08747869556217215,26.247782848919023,16
67,2,0.1,10.0,0.6875,0.6875,0.40451991747794525,0.01523153132892125,0.048241855291564495,3.100323085412334,16
68,1,0.5,10.0,0.625,0.5873015873015872,0.2219167619785609,0.11804422759266985,0.12115345087247723,54.95932290575289,16
69,1,0.2,10.0,0.5,0.4920634920634921,-0.015873015873015872,0.08320219124781206,0.09993493693848889,25.443140078778118,16
70,2,0.2,1.0,0.375,0.375,-0.2581988897471611,0.04822455820805564,0.09463772233353734,10.610025658962828,16
71,1,0.5,1.0,0.75,0.75,0.5773502691896258,0.11233586285894262,0.11415290663561553,54.07611557242455,16
72,2,0.5,10.0,0.625,0.625,0.3779644730092272,0.10582620601474603,0.11312210027022394,45.594757032088914,16
73,2,0.2,10.0,0.6875,0.6904761904761905,0.3779644730092272,0.039240441196619555,0.08345222681760499,10.859367834928248,16
74,2,0.2,1.0,0.4375,0.42063492063492064,-0.16265001215808886,0.04377855322469741,0.09274649806062348,11.179602701869861,16
75,2,0.5,10.0,0.375,0.375,-0.2886751345948129,0.1111761851793703,0.11690277168538805,44.80702880261483,16
76,1,0.2,10.0,0.625,0.625,0.25,0.08024480070759928,0.09218321228209095,25.941971090713064,16
77,1,0.05,10.0,0.4375,0.4375,-0.1259881576697424,0.007377100740166686,0.04303446235123948,1.4550443737763123,16
78,1,0.5,1.0,0.6875,0.6428571428571428,0.42857142857142855,0.11445864238026125,0.11708949238943751,52.95384762234094,16
79,1,0.2,10.0,0.5625,0.5476190476190476,0.09759000729485331,0.09680790147189924,0.1129041097652228,27.409049656131035,16
80,1,0.5,10.0,0.5,0.5,0.0,0.13030933858137028,0.1331450241272802,52.42379374055394,16
81,1,0.1,10.0,0.625,0.625,0.2581988897471611,0.024202348205192886,0.06560205682938645,3.9965159225572218,16
82,1,0.05,10.0,0.4375,0.4375,-0.1259881576697424,0.008604617305689911,0.06038726339276849,1.4372411440451862,16
83,2,0.2,10.0,0.6875,0.7222222222222222,0.5091750772173156,0.04091284671002879,0.0874137183450976,10.58513078550598,16
84,1,0.2,10.0,0.5625,0.5952380952380952,0.21821789023599236,0.07883183256030335,0.09085152063005517,27.85053543245722,16
85,2,0.2,10.0,0.4375,0.4375,-0.13483997249264842,0.0411805357512193,0.08179854017658067,11.130785828298897,16
86,2,0.2,10.0,0.5,0.5,0.0,0.043647247312698444,0.08689411714216774,10.575337201403828,16
87,2,0.5,10.0,0.5,0.5,0.0,0.11577817956025206,0.12206942439273354,45.8369283627915,16
88,1,0.2,1.0,0.5,0.5079365079365079,0.015873015873015872,0.08941395318817168,0.10460652560028849,27.11993487888387,16
89,2,0.2,10.0,0.6875,0.6904761904761905,0.3779644730092272,0.034688675057338164,0.07350234355209809,10.733082439744168,16
90,1,0.2,10.0,0.6875,0.6875,0.3779644730092272,0.08696051652831127,0.09837804938072223,27.088530412572887,16
91,2,0.2,10.0,0.75,0.75,0.5773502691896258,0.04282110795320465,0.08632190575405502,11.145217222141603,16
92,1,0.1,1.0,0.5,0.5,0.0,0.02009912337395736,0.05475772954548276,3.5918166516098875,16
93,1,0.2,10.0,0.5,0.4920634920634921,-0.015873015873015872,0.0932030594922288,0.10873869931745589,26.489879338986967,16
94,1,0.2,1.0,0.5625,0.5793650793650793,0.16265001215808886,0.08972405246523607,0.10559634635486594,26.720270016454215,16
95,2,0.2,10.0,0.75,0.75,0.5163977794943222,0.04226424564384922,0.08537644179648947,10.44037526628194,16
96,1,0.5,1.0,0.6875,0.6875,0.40451991747794525,0.11818543452288698,0.12000492231885619,54.89239560929184,16
97,1,0.1,10.0,0.375,0.375,-0.25,0.026247076044353668,0.06995488973165129,3.771935395970268,16
98,2,0.2,10.0,0.625,0.6507936507936507,0.32277655457716287,0.0450512098199794,0.09376328997755658,11.06994021294856,16
99,1,0.2,1.0,0.625,0.6031746031746031,0.22084711628963774,0.08341011700927983,0.09820618016520834,28.28645746337319,16
