fold,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test,best_C
0,0.5625,0.5625,0.13483997249264842,-0.0037790888365117417,0.04138057463834951,7.1726263073081125,16,0.1
1,0.5625,0.5625,0.13483997249264842,-0.002737806785960359,0.04285636777501987,7.3651819812393065,16,0.1
2,0.375,0.375,-0.2581988897471611,0.0005470807742760477,0.0440291066478983,7.248612071422751,16,1.0
3,0.5625,0.5476190476190476,0.09759000729485331,-0.005122150571322217,0.039922339227971136,7.011669738487631,16,1.0
4,0.625,0.6190476190476191,0.23809523809523808,-0.016316616933356575,0.02693641715502455,6.988412696822483,16,0.1
5,0.4375,0.4375,-0.1259881576697424,-0.00474495146306693,0.039364971140646784,7.088412206810779,16,0.1
6,0.4375,0.4375,-0.1259881576697424,0.0018326119565964044,0.04748182156543998,7.358044737293055,16,0.1
7,0.5625,0.5625,0.13483997249264842,-0.004367786255883705,0.04049098939499647,7.2365026513569966,16,0.1
8,0.5625,0.5634920634920635,0.1259881576697424,0.002267851605585131,0.04707079171564442,6.819484705695102,16,0.1
9,0.5625,0.5317460317460317,0.07273929674533079,-0.011550513032819901,0.03375163291707208,7.335540735508812,16,1.0
10,0.375,0.375,-0.2581988897471611,0.009105569710968849,0.052041758720482105,7.168827162460207,16,0.1
11,0.5,0.5,0.0,-0.007934596488520438,0.03832539357538688,7.297754299020755,16,1.0
12,0.5,0.5,0.0,-0.0006516517604791082,0.04598466042688947,6.993519017387238,16,0.1
13,0.5625,0.5476190476190476,0.09759000729485331,-0.014159306409748036,0.029512140146681853,7.047032342534954,16,10.0
14,0.5,0.5079365079365079,0.015873015873015872,0.0027388517283429953,0.0476971529481493,7.155702119834984,16,0.1
15,0.4375,0.4375,-0.1259881576697424,0.004686881698758622,0.04807622547376175,7.038803566498544,16,1.0
16,0.5,0.5,0.0,-0.002430344448159896,0.0430435208570328,7.163728976301512,16,1.0
17,0.4375,0.4375,-0.1259881576697424,-0.007424597876665937,0.03590004207827353,7.102075176776976,16,0.1
18,0.5,0.4920634920634921,-0.015873015873015872,-0.005312332181745868,0.0398917872606065,7.1399961089660575,16,0.1
19,0.5625,0.5476190476190476,0.09759000729485331,-0.007413855297923093,0.038426841099669234,7.160128171796076,16,0.1
20,0.4375,0.4375,-0.13483997249264842,0.004135521085268183,0.04586113732658236,7.11686713369239,16,0.1
21,0.5,0.5,0.0,-0.0187077252005874,0.02496502572442072,6.9010729754633005,16,0.1
22,0.25,0.25,-0.5163977794943222,0.02206400349786403,0.06606059860357844,6.948618081387379,16,1.0
23,0.375,0.38095238095238093,-0.23809523809523808,-0.003819582581308716,0.04434501385310347,7.254591323291442,16,0.1
24,0.5,0.46031746031746035,-0.10087125544480041,-0.017731778876798335,0.02728484483085911,7.5577792564173825,16,0.1
25,0.4375,0.4375,-0.16012815380508713,-0.008831481614548728,0.03359772230728241,7.075928609187085,16,1.0
