fold,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test,best_C
0,0.3076923076923077,0.31666666666666665,-0.31754264805429416,-0.00344744925443559,0.03783139475130837,6.999913135510906,13,1.0
1,0.4583333333333333,0.47857142857142854,-0.04364357804719848,0.004611952000268951,0.04818736978525104,7.378542543106719,24,0.1
2,0.3333333333333333,0.33333333333333337,-0.3721042037676254,0.001171086874186535,0.0414384130615554,7.1538184548464105,18,0.1
3,0.3333333333333333,0.35064935064935066,-0.2987012987012987,0.0069553667840501435,0.05541069445801431,7.120338102497665,18,1.0
4,0.42857142857142855,0.3,-0.4,0.002480269012327295,0.04094691302212976,7.165282265179191,7,1.0
5,0.5,0.5714285714285714,0.2548235957188128,-0.004382695917047714,0.03706232236016579,7.120900464518061,12,0.1
6,0.45454545454545453,0.45833333333333337,-0.08333333333333333,0.02443297936146039,0.07158195780272276,6.889434514605835,22,0.1
7,0.4375,0.46825396825396826,-0.07273929674533079,-0.003332928322987179,0.04208914599210428,7.2300275067265565,16,10.0
8,0.3076923076923077,0.31666666666666665,-0.31754264805429416,-0.010932831395683197,0.03227172265271197,7.141741953556839,13,1.0
9,0.4117647058823529,0.4305555555555556,-0.181848241863327,0.006591458370329647,0.05021429118188813,7.438001925115844,17,1.0
10,0.47058823529411764,0.4722222222222222,-0.05555555555555555,0.0005903511843419765,0.0457051721393764,6.756933750953054,17,1.0
11,0.4166666666666667,0.5625,0.21320071635561041,-0.014599087836406966,0.0332408142182162,7.390347796164082,24,1.0
12,0.3888888888888889,0.5178571428571428,0.033149677206589796,0.012573517905775005,0.06141765052506192,7.349718688704077,18,0.1
13,0.35714285714285715,0.3333333333333333,-0.34426518632954817,0.0066060593387536745,0.04978285726704691,7.071504464687378,14,0.1
14,0.5714285714285714,0.5833333333333333,0.16666666666666666,-0.011890088119748059,0.025505843383875373,7.1404703895230295,7,0.1
15,0.5,0.5818181818181818,0.16363636363636364,0.00857399240148605,0.04627422376017346,7.486208983706219,16,0.1
16,0.35714285714285715,0.3666666666666667,-0.25819888974716115,-0.0157092069387862,0.028484235399525874,7.204997978521418,14,1.0
17,0.5238095238095238,0.5,0.0,0.008376144124428558,0.05856036594605116,7.163286029846275,21,1.0
18,0.47368421052631576,0.4943181818181818,-0.011631052629980886,0.005743667597313685,0.05574284459324139,6.798917088275692,19,10.0
19,0.3,0.3,-0.5,0.006097418810756553,0.046274081090326415,7.036937148989478,10,10.0
20,0.4583333333333333,0.53125,0.06482037235521644,-0.013430223192621268,0.03729636114881055,7.362121269678297,24,1.0
21,0.4444444444444444,0.4875,-0.03952847075210474,-0.0019280158087551672,0.043618875838879474,7.070274917023589,18,0.1
22,0.4,0.38095238095238093,-0.2182178902359924,0.00037491742288230437,0.04351154508177362,7.307652144215401,10,0.1
23,0.6428571428571429,0.6428571428571428,0.28867513459481287,0.0012045388925684443,0.042609539742521185,7.008826284270316,14,0.1
24,0.42857142857142855,0.375,-0.22821773229381923,-0.0010612795212909098,0.04589755455296208,7.028239898346573,14,0.1
25,0.3333333333333333,0.41666666666666663,-0.1889822365046136,0.001701343488248946,0.03955841429823712,7.310366972342457,9,0.1
26,0.3333333333333333,0.35384615384615387,-0.26856632724128343,0.024266555096878823,0.07352254737687512,7.069640704254651,18,0.1
27,0.3888888888888889,0.4,-0.20385887657505022,-0.007543234978624381,0.04144473870838369,7.246078630169653,18,1.0
28,0.7368421052631579,0.7321428571428572,0.45361105256925455,-0.02627594753884198,0.01947318271367561,6.782437071992674,19,1.0
29,0.3125,0.31666666666666665,-0.3578300267477955,0.009988141613932276,0.0469902355581585,7.3793440950210485,16,1.0
30,0.3888888888888889,0.41666666666666663,-0.16116459280507606,-0.003257858385255486,0.04518091888528004,7.1841856279753875,18,10.0
31,0.2222222222222222,0.25,-0.5,-0.00393726314069137,0.030786292210969724,7.104488133571131,9,1.0
32,0.35714285714285715,0.375,-0.25819888974716115,0.00848126467521197,0.05519212714044981,7.074769200727393,14,0.1
33,0.45,0.4166666666666667,-0.17118419700436516,-0.007740265744466116,0.04124424791271601,7.246314858305682,20,1.0
34,0.47368421052631576,0.5535714285714286,0.1267731382092775,-3.0443833424900978e-05,0.045491054288073866,7.0447169359581965,19,1.0
35,0.35294117647058826,0.36428571428571427,-0.2714285714285714,0.003072655411046264,0.04959640117824428,7.3108283969628935,17,0.1
36,0.4166666666666667,0.41428571428571426,-0.1690308509457033,0.002068965769246251,0.04452197922137123,7.158703738348377,12,1.0
37,0.6153846153846154,0.5833333333333333,0.15811388300841897,-0.013019157152078863,0.031268378706173834,7.0224550026411166,13,1.0
38,0.6111111111111112,0.5875,0.1941450686788302,-0.020700631210468168,0.02418007068982697,6.9377272839248,18,1.0
39,0.4,0.38095238095238093,-0.2182178902359924,0.008499296731917539,0.05004214645782177,7.221810393958219,20,1.0
40,0.5,0.45238095238095233,-0.0890870806374748,-0.007413192267282786,0.03448525545883412,7.17126108338306,10,10.0
41,0.42105263157894735,0.532051282051282,0.07308816827558576,0.005657736871163574,0.04060307042327009,6.998430826709612,19,0.1
42,0.5,0.5666666666666667,0.14907119849998599,-0.002487661920723126,0.044699151527243325,7.205285395256087,16,0.1
43,0.5263157894736842,0.4857142857142857,-0.025482359571881278,-0.010905956618836572,0.04122582483026664,7.140745267755568,19,0.1
44,0.5,0.5238095238095238,0.050964719143762556,0.003932696223836886,0.0489628886468307,7.138513029834359,16,0.1
45,0.5,0.5,0.0,-0.0034944371160046494,0.03543850057842696,7.344441048928235,6,1.0
46,0.3181818181818182,0.3857142857142857,-0.23904572186687875,-0.0012692200443785075,0.047807792134529715,6.9823791898793885,22,0.1
47,0.6153846153846154,0.575,0.15811388300841897,-0.0057785351077709,0.037227011254951724,7.128395592293326,13,1.0
48,0.4117647058823529,0.4083333333333333,-0.16735967034880075,0.0029295074166572318,0.04963763498144265,7.399678004310984,17,0.1
