fold,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test,best_C,best_degree,best_gamma,best_coef0
0,0.4375,0.4375,-0.1259881576697424,0.05667475164361613,0.07222497929475007,16.607946622313833,16,10.0,2,scale,0.0
1,0.625,0.625,0.25,0.07196404287140802,0.08797881986475417,16.954976373860823,16,1.0,2,scale,0.0
2,0.625,0.625,0.2581988897471611,0.0017117155347010412,0.07046428827693674,12.04929895731867,16,10.0,3,scale,1.0
3,0.75,0.7619047619047619,0.5238095238095238,0.005931494511177373,0.07845718157984248,21.55259533729339,16,0.1,3,0.1,0.0
4,0.375,0.3492063492063492,-0.32277655457716287,0.0025183621848630954,0.07571032122576449,20.702410673211304,16,1.0,3,1,1.0
5,0.5625,0.5625,0.16012815380508713,0.06113633127827527,0.07520101644232269,16.1870119546817,16,1.0,2,scale,0.0
6,0.375,0.375,-0.2581988897471611,0.021833137120783132,0.09052190188476826,22.224810957089268,16,0.1,3,0.1,0.0
7,0.625,0.625,0.25,0.0006341137311948039,0.07364800149236032,15.06620476108844,16,10.0,2,0.1,1.0
8,0.4375,0.4365079365079365,-0.1259881576697424,0.0003142247198161829,0.08138774607535314,21.14908236059811,16,0.1,3,0.1,1.0
9,0.625,0.5873015873015872,0.2219167619785609,-0.0016680667799206694,0.08386036813098831,23.565719486733418,16,0.1,3,0.1,1.0
10,0.75,0.75,0.5,0.03281633707040566,0.09260521033419886,19.96353511525787,16,0.1,3,1,0.0
11,0.5625,0.5625,0.13483997249264842,0.012014037231384535,0.08367608724337304,16.93064754523247,16,1.0,2,0.1,0.0
12,0.625,0.625,0.2581988897471611,0.0035193863920715894,0.07482420577579794,11.143012141756554,16,10.0,3,scale,1.0
13,0.6875,0.6428571428571428,0.42857142857142855,-0.024457404096254368,0.05077801553637743,16.196848868774723,16,0.1,2,0.1,0.0
14,0.625,0.6349206349206349,0.2698412698412698,0.0015266680739710232,0.06162796433963209,6.337400140706492,16,10.0,2,scale,1.0
15,0.625,0.625,0.2581988897471611,0.008684604492424492,0.07695071404038212,20.283018332995805,16,1.0,3,0.1,0.0
16,0.6875,0.6875,0.3779644730092272,0.023609258165607452,0.09953307304195816,21.584028316720996,16,0.1,3,0.1,1.0
17,0.625,0.625,0.2886751345948129,-0.0006066629213491211,0.07928950601916036,16.69044054119943,16,0.1,2,1,0.0
18,0.5625,0.5634920634920635,0.1259881576697424,-0.0014910017773699254,0.07755129091514092,17.109212891318613,16,1.0,2,1,1.0
19,0.6875,0.6746031746031746,0.3578300267477955,-0.0056515715083987105,0.06882784062624328,16.298739020704016,16,1.0,2,0.1,0.0
20,0.625,0.625,0.2886751345948129,0.08858855061231471,0.08687460799731306,21.271998984756166,16,10.0,3,scale,0.0
21,0.375,0.375,-0.2581988897471611,0.013763719396530828,0.09037071366091406,21.01132053340325,16,0.1,3,0.1,1.0
22,0.5,0.5,0.0,0.026569849718283575,0.08943694889768228,20.675441303882373,16,1.0,3,0.1,0.0
23,0.875,0.873015873015873,0.746031746031746,-0.008784674306765184,0.06558453564813295,14.552406057078558,16,1.0,2,0.1,1.0
24,0.4375,0.40476190476190477,-0.21821789023599236,-0.013516074837426504,0.06780909998096048,17.850248897793325,16,0.1,2,1,1.0
25,0.5,0.5,0.0,0.010163823600698734,0.08921128587681773,16.810893741433343,16,10.0,2,1,0.0
26,0.375,0.375,-0.2581988897471611,0.08149742506712697,0.09848852399995411,16.736538215209805,16,1.0,2,scale,0.0
27,0.6875,0.6875,0.40451991747794525,-0.022097349855950164,0.05842232417689606,16.581547192156677,16,0.1,2,1,1.0
28,0.625,0.6031746031746031,0.22084711628963774,0.013190060989448762,0.09225027819126362,21.27140342549795,16,0.1,3,0.1,1.0
29,0.6875,0.6746031746031746,0.3578300267477955,0.00015816166290245036,0.07392165922971301,21.31979683825832,16,10.0,3,0.1,0.0
30,0.3125,0.3125,-0.3779644730092272,0.000620931939972169,0.08023000677734653,21.759237785959005,16,10.0,3,0.1,1.0
31,0.4375,0.4375,-0.13483997249264842,0.01486918607094497,0.0917400918271763,21.655836509857494,16,1.0,3,0.1,1.0
32,0.6875,0.6875,0.3779644730092272,-0.008143988313575,0.06759428768834395,16.819881893994097,16,1.0,2,0.1,0.0
