fold,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test,best_C,best_degree,best_gamma,best_coef0
0,0.38461538461538464,0.25,-0.4330127018922193,0.07391452022359364,0.08772856556899239,16.162944320743783,13,1.0,2,scale,0.0
1,0.375,0.39285714285714285,-0.21821789023599236,0.09166483619205675,0.08896726849801892,19.834669780244667,24,10.0,3,scale,0.0
2,0.5,0.5,0.0,0.0002425745038361858,0.052707995277716226,6.302077254425119,18,0.1,2,scale,1.0
3,0.5,0.43506493506493504,-0.15228622596829317,0.027372094790313113,0.10768022316515534,16.541751085819563,18,1.0,2,1,1.0
4,0.5714285714285714,0.55,0.09128709291752768,0.004993900256965707,0.06897142440905236,17.151614767605786,7,0.1,2,0.1,0.0
5,0.5,0.5142857142857142,0.02857142857142857,0.001159620625013988,0.07478326873328905,22.39375980975799,12,0.1,3,1,0.0
6,0.4090909090909091,0.4333333333333333,-0.1584236068762679,0.03163298198906795,0.10015979824068132,20.561107207997484,22,0.1,3,1,0.0
7,0.375,0.3492063492063492,-0.32277655457716287,0.00730768255459667,0.08229771814648276,16.54885361342279,16,1.0,2,0.1,0.0
8,0.38461538461538464,0.4833333333333333,-0.03042903097250923,-0.002917641236021222,0.04990498079240471,6.499977448828276,13,0.1,2,scale,1.0
9,0.4117647058823529,0.4305555555555556,-0.181848241863327,0.008558811689451483,0.07958598415067937,11.797648431824257,17,10.0,3,scale,1.0
10,0.4117647058823529,0.4236111111111111,-0.16735967034880075,0.011235345065957008,0.08873369168659394,19.93552399584468,17,0.1,3,0.1,1.0
11,0.5,0.625,0.31622776601683794,-0.00606050757143246,0.089442787388853,21.321374138302,24,0.1,3,1,1.0
12,0.3333333333333333,0.5714285714285714,0.1889822365046136,0.011721393659301645,0.07200119979519909,6.622548946679341,18,0.1,2,scale,1.0
13,0.5714285714285714,0.5625,0.125,0.01697743436457176,0.08052104206551877,19.99165121422833,14,1.0,3,0.1,0.0
14,0.5714285714285714,0.5833333333333333,0.16666666666666666,0.0068602032023405615,0.07676601657299376,17.025585737976407,7,0.1,2,1,0.0
15,0.5,0.5272727272727272,0.050964719143762556,0.024635574124349538,0.09711183875086452,17.170877495701063,16,0.1,2,0.1,0.0
16,0.6428571428571429,0.6333333333333333,0.25819888974716115,0.06348497570491567,0.07858109664039586,17.108925911086367,14,10.0,2,scale,0.0
