fold,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test,best_C,best_gamma
0,0.5625,0.5625,0.1259881576697424,0.049994818475798945,0.07611353996030225,10.948835628596994,16,10.0,scale
1,0.5625,0.5625,0.1259881576697424,0.0517490088446775,0.08231211853170133,11.455432804480214,16,10.0,scale
2,0.6875,0.6875,0.40451991747794525,0.1271239949949373,0.1291307069263661,47.10847922664785,16,1.0,0.1
3,0.625,0.6666666666666666,0.4236592728681617,0.10651050610318742,0.10928051593739094,46.23712715839852,16,1.0,0.1
4,0.5625,0.5158730158730158,0.047619047619047616,0.11652041074164204,0.1208780781055635,47.92956047998335,16,10.0,0.1
5,0.625,0.625,0.2581988897471611,0.05010353675394837,0.07956755358648927,11.005334910413621,16,10.0,scale
6,0.375,0.375,-0.25,0.12792931377348177,0.13059287335661185,48.77318405234568,16,10.0,0.1
7,0.6875,0.6875,0.48038446141526137,0.10871417673632652,0.11080643246693422,46.84863717971888,16,1.0,0.1
8,0.5,0.5079365079365079,0.015873015873015872,0.044810334872272595,0.07402919735127711,10.648360859077092,16,10.0,scale
9,0.5,0.47619047619047616,-0.050964719143762556,0.042581377065961046,0.07386723309059257,10.994769757133085,16,10.0,scale
10,0.6875,0.6875,0.3779644730092272,0.11347095677688902,0.11567344437334728,49.07977744554828,16,10.0,0.1
11,0.75,0.75,0.5163977794943222,0.04640216242112795,0.07577329532608693,11.19576103886403,16,10.0,scale
12,0.625,0.625,0.2581988897471611,0.054354430924640304,0.08577698776347221,10.874489721271901,16,10.0,scale
13,0.5625,0.5,0.0,0.12158206283537887,0.12319244594968619,57.79654948343126,16,0.1,1
14,0.5625,0.5793650793650793,0.16265001215808886,0.04957020405822252,0.08415289741304083,11.081776069335051,16,10.0,scale
15,0.4375,0.4375,-0.13483997249264842,0.05399819037826093,0.08652448522644299,11.18542319822525,16,10.0,scale
16,0.5,0.5,0.0,0.11837104467074912,0.12275606948964228,45.598660397178705,16,1.0,0.1
17,0.5,0.5,0.0,0.05216090535641901,0.07694649564942976,11.532791390640554,16,0.1,scale
18,0.625,0.6190476190476191,0.23809523809523808,0.04545827884695037,0.08022070193595016,10.708564516636176,16,10.0,scale
19,0.6875,0.6587301587301587,0.363696483726654,0.11989385692977134,0.12099089346603605,57.70467725988614,16,1.0,1
20,0.5625,0.5625,0.16012815380508713,0.12944293412222507,0.13297158820691327,49.60878121863188,16,1.0,0.1
21,0.4375,0.4375,-0.13483997249264842,0.019539081136147406,0.051612686190759836,3.439754786755077,16,10.0,0.01
22,0.5,0.5,0.0,0.12278139422282978,0.12436736482361119,57.18699489453816,16,1.0,1
23,0.75,0.7619047619047619,0.5238095238095238,0.03947795909418859,0.06905122007073901,10.860882070826694,16,10.0,scale
24,0.625,0.5873015873015872,0.2219167619785609,0.11693299924005922,0.1200687917237247,48.87412112100632,16,1.0,0.1
25,0.4375,0.4375,-0.1259881576697424,0.05715096828052102,0.08544413784887124,11.04086875312394,16,10.0,scale
26,0.5,0.5,0.0,0.05847949298206279,0.0921989382950955,11.912072639510496,16,10.0,scale
27,0.5625,0.5625,0.2581988897471611,0.12015419022927389,0.12225657846113099,58.889957636273735,16,1.0,1
28,0.5625,0.5476190476190476,0.09759000729485331,0.04590105592174185,0.0792753247133916,11.035713697636407,16,10.0,scale
29,0.625,0.6507936507936507,0.32277655457716287,0.04149005859913648,0.07054479256683804,10.412835352107347,16,10.0,scale
30,0.4375,0.4375,-0.13483997249264842,0.049352599614236506,0.07592117735639414,11.090414076925954,16,10.0,scale
31,0.5625,0.5625,0.13483997249264842,0.022351553934382474,0.06414871317408104,3.4442920676095476,16,10.0,0.01
32,0.6875,0.6875,0.40451991747794525,0.10599103971643967,0.10895559771830994,47.43280950418757,16,1.0,0.1
33,0.5625,0.5,0.0,0.04856644691802474,0.08218949228087462,11.233985577480869,16,0.1,scale
34,0.5,0.5238095238095238,0.050964719143762556,0.12430011143541705,0.12705859153126967,49.30521601067914,16,10.0,0.1
35,0.5,0.5,0.0,0.12837307937911976,0.13061394587517275,58.25153986934427,16,1.0,1
36,0.5,0.5,0.0,0.1313521942074251,0.1332272015533626,57.608019124069195,16,1.0,1
37,0.5,0.5,0.0,0.0238197823238584,0.0634186373157761,3.535649773658841,16,1.0,0.01
38,0.6875,0.6904761904761905,0.3779644730092272,0.11674557013012002,0.1193848879284059,50.091106122048835,16,1.0,0.1
39,0.75,0.7301587301587301,0.49265895172303803,0.04923359574799072,0.08312218907205679,10.98878627042811,16,10.0,scale
40,0.5625,0.5625,0.13483997249264842,0.053263499963758995,0.0847594887416676,11.29706428663408,16,10.0,scale
41,0.5,0.5,0.0,0.12459405135180002,0.12670037337953574,56.343923764209755,16,1.0,1
42,0.5,0.5,0.0,0.05249780397821373,0.07967354806578361,11.206602038185135,16,10.0,scale
43,0.75,0.746031746031746,0.49206349206349204,0.0464408322005159,0.07914665117719417,11.673943249748858,16,10.0,scale
44,0.5,0.5079365079365079,0.015873015873015872,0.017924591338376598,0.05866904959950093,3.552566610492173,16,10.0,0.01
45,0.5,0.5,0.0,0.11428220471000915,0.11768809127387965,47.70848713826684,16,10.0,0.1
46,0.5625,0.5625,0.13483997249264842,0.1220548801293797,0.12346938459003604,48.60378204768285,16,10.0,0.1
47,0.5625,0.5625,0.1259881576697424,0.04415878324392451,0.06903352592430977,10.873519287680576,16,10.0,scale
48,0.5,0.4920634920634921,-0.015873015873015872,0.05027403378430339,0.08667316000900085,10.82223671515131,16,1.0,scale
49,0.5,0.5079365079365079,0.015873015873015872,0.11360227470423334,0.1169133630285915,47.421800693948,16,10.0,0.1
50,0.625,0.625,0.2581988897471611,0.05244340629588234,0.08589579421900613,10.816245083626324,16,10.0,scale
51,0.5625,0.5625,0.1259881576697424,0.0478821390481008,0.07374062942994217,11.453894546718212,16,10.0,scale
52,0.6875,0.6875,0.48038446141526137,0.10866635518408453,0.11130996192293344,47.35035222793545,16,1.0,0.1
53,0.625,0.6190476190476191,0.23809523809523808,0.055182271865137786,0.09311167080540322,10.734884425009405,16,10.0,scale
54,0.5625,0.5634920634920635,0.1259881576697424,0.04427471309781615,0.07427455766766124,11.398831246568347,16,10.0,scale
55,0.5,0.5,0.0,0.12791119326642264,0.12993991178344874,56.798301216236354,16,1.0,1
