fold,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test,best_C,best_gamma
0,0.23076923076923078,0.26666666666666666,-0.42600643361512924,0.1182452499688941,0.12309029743430154,47.166012254051815,13,10.0,0.1
1,0.3333333333333333,0.4,-0.3567530340063379,0.13850369037718924,0.13577456892346848,43.35095654196644,24,10.0,0.1
2,0.6666666666666666,0.6666666666666666,0.4472135954999579,0.11120011106004962,0.11406452211189068,42.82897197158244,18,1.0,0.1
3,0.6666666666666666,0.5974025974025974,0.2548235957188128,0.01931199064921496,0.07282490037496472,3.534206269034558,18,10.0,0.01
4,0.2857142857142857,0.2,-0.5477225575051661,0.05187148817615375,0.07276064169746485,10.984001247164253,7,10.0,scale
5,0.4166666666666667,0.5,0.0,0.045886322618063476,0.06522211049355099,11.071540214768564,12,0.1,scale
6,0.45454545454545453,0.5,0.0,0.12329708376290774,0.12415141821446722,41.506181311241626,22,0.1,0.1
7,0.5625,0.5,0.0,0.12420674544020074,0.12592743098526357,56.207202124371314,16,0.1,1
8,0.23076923076923078,0.5,0.0,0.04077551490679929,0.07497388270172893,11.1224068334902,13,0.1,scale
9,0.4117647058823529,0.4236111111111111,-0.16735967034880075,0.07177649430974033,0.10561753216782924,11.155126148792409,17,1.0,scale
10,0.47058823529411764,0.4652777777777778,-0.07042952122737638,0.024530296104496415,0.06341057770780736,3.3846400159560686,17,10.0,0.01
11,0.3333333333333333,0.5,0.0,0.10155714757765136,0.08424159730380704,11.288963106895784,24,0.1,scale
12,0.3333333333333333,0.48214285714285715,-0.03571428571428571,0.02493762179538805,0.0724273921645338,3.559536619755528,18,1.0,0.01
13,0.5714285714285714,0.5625,0.125,0.11035051332242622,0.11374916127022125,44.438472738011896,14,10.0,0.1
14,0.5714285714285714,0.5,0.0,0.038748660558936325,0.06358888228978338,11.125024689116563,7,0.1,scale
15,0.4375,0.5363636363636364,0.0778498944161523,0.12392315595403958,0.12027371335454645,46.15968628497381,16,10.0,0.1
16,0.5,0.5666666666666667,0.1414213562373095,0.039537386924783334,0.07333579764498903,10.812879193981201,14,1.0,scale
17,0.5714285714285714,0.5,0.0,0.05431453086516045,0.09537631672050427,11.157508285492789,21,0.1,scale
18,0.5789473684210527,0.5,0.0,0.12960057302018216,0.13127273984110935,53.262001062505504,19,0.1,1
19,0.4,0.4,-0.3333333333333333,0.0501733248210785,0.08155962730082905,11.084578945498057,10,1.0,scale
20,0.4583333333333333,0.5625,0.14509525002200233,0.06516705724781806,0.05617630467396036,3.416150188555087,24,10.0,0.01
21,0.3888888888888889,0.4,-0.20385887657505022,0.12082299631351819,0.12409119684745061,46.18447202616472,18,10.0,0.1
22,0.3,0.30952380952380953,-0.3563483225498992,0.042570602103831706,0.07776946401604279,11.198236978289644,10,0.1,scale
23,0.5,0.5,0.0,0.049082377841843966,0.07792392389215405,10.713610339365937,14,0.1,scale
24,0.5714285714285714,0.55,0.09128709291752768,0.04095283294700545,0.07556106814636693,11.325722673521357,14,10.0,scale
25,0.6666666666666666,0.75,0.5,0.05198366350522432,0.07004642143567871,11.406466526421287,9,10.0,scale
26,0.3333333333333333,0.35384615384615387,-0.26856632724128343,0.02514946820057453,0.08571917928544266,3.5879095556455765,18,1.0,0.01
27,0.4444444444444444,0.5,0.0,0.025848414000473195,0.057948780637849466,3.335818772729699,18,0.1,0.01
28,0.3684210526315789,0.5,0.0,0.031265626896908476,0.057541011661610277,10.551597792439312,19,0.1,scale
29,0.25,0.26666666666666666,-0.4666666666666667,0.04335608531209722,0.0758403124308857,3.890201653691982,16,10.0,0.01
30,0.4444444444444444,0.375,-0.25,0.04707175460299674,0.08588718724268105,11.555517576109647,18,1.0,scale
31,0.4444444444444444,0.5,0.0,0.05479086264750406,0.07156421762802219,11.058220928154928,9,10.0,scale
32,0.5,0.5208333333333333,0.04303314829119352,0.11333210534969522,0.1168989583737017,44.89074949491587,14,10.0,0.1
33,0.6,0.5,0.0,0.13217891954323693,0.13363591739321348,55.441658541949515,20,0.1,1
34,0.3684210526315789,0.5,0.0,0.06964164654194456,0.07958973292247601,10.835040179764555,19,0.1,scale
35,0.47058823529411764,0.44285714285714284,-0.11769797726729993,0.018235127278434727,0.06650749384052201,3.631088829354808,17,1.0,0.01
36,0.5833333333333334,0.5,0.0,0.11093507072762433,0.11399963538102609,47.92690190189611,12,0.1,0.1
37,0.3076923076923077,0.5,0.0,0.1260075855042925,0.12709888051850762,61.85007152278226,13,0.1,1
38,0.5555555555555556,0.5,0.0,0.11032282932557659,0.11350192707513163,41.510971522207164,18,0.1,0.1
39,0.35,0.34523809523809523,-0.28511240114923325,0.06471742080260484,0.06568335870101208,3.432568261147042,20,10.0,0.01
40,0.5,0.5476190476190476,0.0890870806374748,0.040817073568858955,0.07295945472677832,11.470521535481307,10,10.0,scale
41,0.3684210526315789,0.40384615384615385,-0.18531232916527532,0.05145658217188688,0.05818692250976918,3.469416292166592,19,10.0,0.01
42,0.4375,0.5166666666666667,0.041344911529736156,0.11743941421515144,0.11659656119176051,46.52661378184181,16,1.0,0.1
43,0.2631578947368421,0.5,0.0,0.01562609980751612,0.06230538743778995,3.391711118688418,19,0.1,0.01
44,0.5625,0.5,0.0,0.048894469439873786,0.08463803622781801,11.399627200268132,16,0.1,scale
45,0.6666666666666666,0.5,0.0,0.038747287910968584,0.06693041427623479,11.119650837059062,6,0.1,scale
46,0.3181818181818182,0.5,0.0,0.07979800225997027,0.07826556406682103,10.242600049721728,22,0.1,scale
47,0.6153846153846154,0.575,0.15811388300841897,0.10734600800314498,0.1108419504786104,45.24248258316978,13,10.0,0.1
48,0.29411764705882354,0.5,0.0,0.04541034998719877,0.08356154849582169,11.536400219743305,17,0.1,scale
49,0.5,0.5,0.0,0.06186965885095797,0.08851228218956708,11.207711893643806,22,0.1,scale
