fold,accuracy,balanced_accuracy,mcc
0,0.23076923076923078,0.5,0.0
1,0.4166666666666667,0.5,0.0
2,0.5,0.5,0.0
3,0.6111111111111112,0.5,0.0
4,0.2857142857142857,0.5,0.0
5,0.4166666666666667,0.5,0.0
6,0.45454545454545453,0.5,0.0
7,0.5625,0.5,0.0
8,0.23076923076923078,0.5,0.0
9,0.47058823529411764,0.5,0.0
10,0.47058823529411764,0.5,0.0
11,0.3333333333333333,0.5,0.0
12,0.2222222222222222,0.5,0.0
13,0.5714285714285714,0.5,0.0
14,0.5714285714285714,0.5,0.0
15,0.3125,0.5,0.0
16,0.6428571428571429,0.5,0.0
17,0.5714285714285714,0.5,0.0
18,0.5789473684210527,0.5,0.0
19,0.5,0.5,0.0
20,0.3333333333333333,0.5,0.0
21,0.5555555555555556,0.5,0.0
22,0.7,0.5,0.0
23,0.5,0.5,0.0
24,0.2857142857142857,0.5,0.0
25,0.3333333333333333,0.5,0.0
26,0.2777777777777778,0.5,0.0
27,0.4444444444444444,0.5,0.0
28,0.3684210526315789,0.5,0.0
29,0.375,0.5,0.0
30,0.3333333333333333,0.5,0.0
31,0.3333333333333333,0.5,0.0
32,0.5714285714285714,0.5,0.0
33,0.6,0.5,0.0
34,0.3684210526315789,0.5,0.0
35,0.5882352941176471,0.5,0.0
36,0.5833333333333334,0.5,0.0
37,0.3076923076923077,0.5,0.0
38,0.5555555555555556,0.5,0.0
39,0.3,0.5,0.0
40,0.7,0.5,0.0
41,0.3157894736842105,0.5,0.0
42,0.375,0.5,0.0
43,0.2631578947368421,0.5,0.0
44,0.5625,0.5,0.0
45,0.6666666666666666,0.5,0.0
46,0.3181818181818182,0.5,0.0
47,0.6153846153846154,0.5,0.0
48,0.29411764705882354,0.5,0.0
49,0.5,0.5,0.0
50,0.4444444444444444,0.5,0.0
51,0.3888888888888889,0.5,0.0
52,0.4166666666666667,0.5,0.0
53,0.07142857142857142,0.5,0.0
54,0.5,0.5,0.0
55,0.42857142857142855,0.5,0.0
56,0.5555555555555556,0.5,0.0
57,0.2916666666666667,0.5,0.0
58,0.23809523809523808,0.5,0.0
59,0.25,0.5,0.0
60,0.5,0.5,0.0
61,0.5,0.5,0.0
62,0.6,0.5,0.0
63,0.5238095238095238,0.5,0.0
64,0.5,0.5,0.0
65,0.5714285714285714,0.5,0.0
66,0.44,0.5,0.0
67,0.6428571428571429,0.5,0.0
68,0.6363636363636364,0.5,0.0
69,0.3333333333333333,0.5,0.0
70,0.55,0.5,0.0
71,0.5333333333333333,0.5,0.0
72,0.2222222222222222,0.5,0.0
73,0.5789473684210527,0.5,0.0
74,0.5882352941176471,0.5,0.0
75,0.625,0.5,0.0
76,0.5625,0.5,0.0
77,0.5333333333333333,0.5,0.0
78,0.3333333333333333,0.5,0.0
79,0.5555555555555556,0.5,0.0
80,0.5,0.5,0.0
81,0.21052631578947367,0.5,0.0
82,0.2,0.5,0.0
83,0.6,0.5,0.0
84,0.3157894736842105,0.5,0.0
85,0.6153846153846154,0.5,0.0
86,0.391304347826087,0.5,0.0
87,0.21428571428571427,0.5,0.0
88,0.4,0.5,0.0
89,0.26666666666666666,0.5,0.0
90,0.29411764705882354,0.5,0.0
91,0.3684210526315789,0.5,0.0
92,0.5,0.5,0.0
93,0.5833333333333334,0.5,0.0
94,0.5,0.5,0.0
95,0.5,0.5,0.0
96,0.5555555555555556,0.5,0.0
97,0.2,0.5,0.0
98,0.4074074074074074,0.5,0.0
99,0.5555555555555556,0.5,0.0
