fold,best_reps,best_bandwidth,best_C,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test
0,2,0.2,10.0,0.5625,0.5625,0.13483997249264842,0.043216297917162,0.08637985159186255,10.537265028859544,16
1,1,0.2,10.0,0.5,0.5,0.0,0.08975648574738944,0.10122620116025723,27.758846924110035,16
2,1,0.2,10.0,0.625,0.625,0.2581988897471611,0.0971070613750323,0.11026763582367341,25.87823428450746,16
3,1,0.2,10.0,0.625,0.6666666666666666,0.4236592728681617,0.07431127498536132,0.08642251151286753,26.085427433846597,16
4,2,0.2,10.0,0.625,0.5873015873015872,0.2219167619785609,0.03396445751413388,0.07217774799179608,10.913957211763517,16
5,1,0.1,10.0,0.6875,0.6875,0.3779644730092272,0.021864832780938512,0.05938591631567868,3.723720085494735,16
6,1,0.5,10.0,0.4375,0.4375,-0.13483997249264842,0.1277796697859505,0.13037923599207787,53.15379231561763,16
7,2,0.5,1.0,0.625,0.625,0.2581988897471611,0.11425611128836002,0.11704231974213898,47.18628798854687,16
8,1,0.2,10.0,0.5,0.5238095238095238,0.050964719143762556,0.07688171589265677,0.08959954071069962,24.950485271869052,16
9,1,0.2,10.0,0.5625,0.5317460317460317,0.07273929674533079,0.0768634968999999,0.09358827990715307,24.842736437003964,16
10,1,0.2,10.0,0.625,0.625,0.2581988897471611,0.09183971960085383,0.10332200709091072,27.17851567767739,16
11,2,0.2,10.0,0.625,0.625,0.2581988897471611,0.03726238361553324,0.07353867892627594,10.544789514753328,16
12,2,0.5,10.0,0.5,0.5,0.0,0.12041429438210427,0.12529027880091784,46.16483484949882,16
13,2,0.5,10.0,0.5625,0.5317460317460317,0.07273929674533079,0.10481391472777334,0.11074786083540954,46.384544870088696,16
14,2,0.5,1.0,0.625,0.6031746031746031,0.22084711628963774,0.11358173768766938,0.11983489866764017,47.63143851486592,16
15,2,0.2,10.0,0.5,0.5,0.0,0.03965401320871858,0.07829463988819266,11.027991901306567,16
16,1,0.5,10.0,0.5,0.5,0.0,0.1262047323417019,0.12961141861382483,51.656533894331375,16
17,1,0.05,0.1,0.5,0.5,0.0,0.007629406954543784,0.040914137961260366,1.43156989873571,16
18,2,0.5,10.0,0.5625,0.5317460317460317,0.07273929674533079,0.11525666418396292,0.12154990189647276,46.72679291410793,16
19,1,0.5,1.0,0.75,0.746031746031746,0.49206349206349204,0.10995192557501188,0.1118184481840958,53.637370499312134,16
20,2,0.5,10.0,0.4375,0.4375,-0.16012815380508713,0.123414715419185,0.12902589538465095,47.30015950135422,16
21,1,0.1,10.0,0.4375,0.4375,-0.13483997249264842,0.020386084197567173,0.05237568065572311,3.553373047900995,16
22,2,0.2,10.0,0.625,0.625,0.3779644730092272,0.05016206110695815,0.09921054062900975,10.665823239824046,16
23,2,0.2,10.0,0.875,0.8571428571428572,0.7644707871564383,0.03290230315639618,0.07076725807299575,10.318140038323651,16
24,2,0.2,10.0,0.3125,0.30952380952380953,-0.3779644730092272,0.04090760533024649,0.08525743036861014,11.181016196018781,16
25,2,0.5,10.0,0.375,0.375,-0.2581988897471611,0.11953451450436518,0.12541752202043993,46.47226685445419,16
26,2,0.2,1.0,0.4375,0.4375,-0.13483997249264842,0.043973542426713294,0.08819360842292666,11.14023533515963,16
27,2,0.2,10.0,0.8125,0.8125,0.629940788348712,0.03990654636319405,0.08065662744196944,10.730508141032681,16
28,1,0.2,1.0,0.5625,0.5317460317460317,0.07273929674533079,0.08559759401106416,0.10084448734660581,26.22039029913948,16
29,1,0.2,10.0,0.625,0.6507936507936507,0.32277655457716287,0.07654090875528081,0.09024813273070621,25.23828070664902,16
30,1,0.2,10.0,0.375,0.375,-0.2581988897471611,0.08656000183196111,0.09903402340151596,25.396380901086626,16
31,1,0.1,10.0,0.5625,0.5625,0.13483997249264842,0.023207044193585755,0.06448401932962239,3.557539954115278,16
32,2,0.2,10.0,0.625,0.625,0.25,0.039113949588251935,0.07850902449407304,10.78377564448899,16
