fold,best_reps,best_bandwidth,best_C,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test
0,1,0.2,1.0,0.38461538461538464,0.3666666666666667,-0.2253744679276044,0.08515858919575282,0.1058051271740259,26.652076653447978,13
1,2,0.2,10.0,0.4166666666666667,0.4285714285714286,-0.14285714285714285,0.07528600398538919,0.12228473566990712,10.666111589840426,24
2,1,0.5,10.0,0.5555555555555556,0.5555555555555556,0.24253562503633297,0.12463356483618244,0.12785644518206918,49.49275030702432,18
3,1,0.1,10.0,0.6666666666666666,0.5974025974025974,0.2548235957188128,0.020193680479638557,0.07318961079372985,3.6576519082471033,18
4,1,0.05,0.1,0.2857142857142857,0.5,0.0,0.013035195140081147,0.04474171000520584,1.4359849379099239,7
5,1,0.5,1.0,0.4166666666666667,0.5,0.0,0.11730482992390019,0.12002247101471715,52.54076708309476,12
6,1,0.2,0.1,0.45454545454545453,0.5,0.0,0.10123574169097423,0.10956650664601848,23.802304673566614,22
7,1,0.2,10.0,0.4375,0.42063492063492064,-0.16265001215808886,0.08115930352802493,0.09661218594325845,26.66207602309147,16
8,1,0.1,0.1,0.23076923076923078,0.5,0.0,0.014989306285412781,0.052109754677989326,3.6587823918076925,13
9,1,0.2,1.0,0.35294117647058826,0.3680555555555556,-0.3105172139687914,0.12097960413646192,0.13074637838502517,27.48737842611599,17
10,1,0.1,10.0,0.47058823529411764,0.4652777777777778,-0.07042952122737638,0.025424016944227582,0.06395972384189377,3.4958746173118,17
11,2,0.5,10.0,0.4583333333333333,0.59375,0.2672612419124244,0.1321819052784176,0.12779051485136114,44.01155475558557,24
12,2,0.5,10.0,0.3333333333333333,0.3035714285714286,-0.3286878675669582,0.1173751522409359,0.12236619142292385,45.827373506561656,18
13,2,0.2,10.0,0.42857142857142855,0.3958333333333333,-0.22821773229381923,0.04402011128986052,0.09342443512526423,10.526276875109279,14
14,2,0.2,10.0,0.7142857142857143,0.6666666666666666,0.47140452079103173,0.03190304267366575,0.06578324655403818,10.884450762489568,7
15,1,0.2,1.0,0.4375,0.5363636363636364,0.0778498944161523,0.1194595939552252,0.11001572619906337,28.83163612854859,16
16,2,0.05,10.0,0.42857142857142855,0.4666666666666667,-0.06666666666666667,0.0021567841382445743,0.033800541834739885,1.4067280392332768,14
17,2,0.1,10.0,0.5714285714285714,0.5555555555555556,0.11322770341445958,0.018217212642581648,0.07987520857496498,3.1434430926031394,21
18,2,0.5,10.0,0.42105263157894735,0.3806818181818182,-0.26756477550475344,0.12572761065157903,0.13205909038536245,43.95899232475227,19
19,2,0.2,10.0,0.5,0.5,0.0,0.04246919430238546,0.08784872011321698,10.624163454177882,10
20,2,0.5,1.0,0.2916666666666667,0.4375,-0.29488391230979427,0.13908927779414346,0.1310049410959046,45.7064532815256,24
21,1,0.05,10.0,0.3333333333333333,0.3625,-0.3286878675669582,0.004988178314501744,0.04908642869673425,1.4539113909672692,18
22,2,0.2,10.0,0.8,0.8571428571428572,0.6546536707079772,0.032878722131106174,0.07240105868447655,10.747161625198773,10
23,1,0.5,10.0,0.35714285714285715,0.3571428571428571,-0.28867513459481287,0.12219606690174808,0.12455424897190362,50.75207081026382,14
24,2,0.5,0.1,0.2857142857142857,0.5,0.0,0.10631483876640614,0.11370430401605601,46.46547625352811,14
25,2,0.5,1.0,0.4444444444444444,0.5833333333333334,0.25,0.1142581837379559,0.11580008525792071,50.8469206446017,9
26,1,0.1,1.0,0.3333333333333333,0.35384615384615387,-0.26856632724128343,0.026011706999473035,0.08587203701231777,3.7160699213527755,18
27,2,0.5,10.0,0.3888888888888889,0.3875,-0.22360679774997896,0.12662284873599866,0.1287727811211265,45.69499747084596,18
28,1,0.05,0.1,0.3684210526315789,0.5,0.0,0.0017747375162822712,0.023768684988949476,1.4228403468314457,19
29,1,0.1,10.0,0.25,0.26666666666666666,-0.4666666666666667,0.04483031588967278,0.0767681091782737,4.041484596920051,16
30,2,0.1,10.0,0.3333333333333333,0.25,-0.5,0.014498461275704902,0.06659706155359528,3.151589540154413,18
31,1,0.2,10.0,0.4444444444444444,0.5,0.0,0.08595442867401623,0.09025012108563613,26.100847132918524,9
32,2,0.1,1.0,0.35714285714285715,0.35416666666666663,-0.28867513459481287,0.0155895128348299,0.06775565004450487,2.988899887513716,14
33,2,0.2,10.0,0.6,0.5833333333333333,0.16666666666666666,0.04429766217313556,0.09528860660946681,10.840339108888237,20
34,1,0.5,1.0,0.3684210526315789,0.5,0.0,0.12415297932796762,0.1260006118242024,49.848298483656805,19
35,1,0.2,1.0,0.4117647058823529,0.35,-0.3872983346207417,0.08458220110100159,0.10195409893264389,26.831985638679864,17
36,2,0.2,10.0,0.4166666666666667,0.41428571428571426,-0.1690308509457033,0.0348293988033604,0.07335884700342632,10.87573893285694,12
37,2,0.2,10.0,0.6923076923076923,0.7083333333333333,0.38575837490522974,0.038504588547896165,0.08523336790639949,10.695851541155564,13
38,2,0.1,0.1,0.5555555555555556,0.5,0.0,0.012006732639490307,0.04619038133362136,3.0971674593559677,18
39,2,0.2,10.0,0.4,0.4285714285714286,-0.1336306209562122,0.08357974260285433,0.10624321635852647,10.561794552157846,20
40,2,0.1,10.0,0.4,0.38095238095238093,-0.2182178902359924,0.011570827943146445,0.052716563293203074,3.18535278992448,10
41,2,0.1,10.0,0.42105263157894735,0.4423076923076923,-0.1086310236566852,0.04767127318033593,0.05971798131400626,3.014817058202264,19
42,2,0.2,10.0,0.625,0.6666666666666667,0.3333333333333333,0.05238853672585864,0.08662385588998271,10.57137925187465,16
43,1,0.2,0.1,0.2631578947368421,0.5,0.0,0.07840089597977702,0.10349948816726726,24.320407660194842,19
44,2,0.5,10.0,0.25,0.25396825396825395,-0.49206349206349204,0.10754546925213859,0.11480426478116444,43.67159905880362,16
45,2,0.2,10.0,0.6666666666666666,0.625,0.25,0.03151453365355062,0.06893654661704561,10.59029143517902,6
46,2,0.5,1.0,0.3181818181818182,0.4619047619047619,-0.12344267996967354,0.1286248456893212,0.12410001615395205,43.41195744445915,22
47,1,0.2,10.0,0.5384615384615384,0.5125,0.025,0.07462720131235971,0.08841653085516797,25.94256386364182,13
48,1,0.05,0.1,0.29411764705882354,0.5,0.0,0.005727111961424588,0.05392713670254319,1.457454359216132,17
49,2,0.2,10.0,0.36363636363636365,0.36363636363636365,-0.2927700218845599,0.05773437357025182,0.11092454801049587,10.723031311864233,22
50,1,0.5,10.0,0.3888888888888889,0.425,-0.2,0.13112560218742894,0.13378581273937348,47.90939547474187,18
51,2,0.05,10.0,0.3333333333333333,0.35064935064935066,-0.2987012987012987,0.022706814677791634,0.06574127172355822,1.4404620426917232,18
52,1,0.5,10.0,0.3333333333333333,0.34285714285714286,-0.3142857142857143,0.11465599492542847,0.11698709240516146,52.764283852877,12
53,2,0.2,10.0,0.42857142857142855,0.23076923076923078,-0.2773500981126146,0.04427549556730232,0.07256038101013768,10.609649443516078,14
54,1,0.2,10.0,0.6666666666666666,0.6666666666666667,0.34188172937891387,0.0968675957410517,0.10990374542310409,25.932917199961327,18
55,2,0.5,10.0,0.35714285714285715,0.375,-0.25819888974716115,0.1161075644702532,0.1211918355264409,49.8541759828241,14
56,2,0.2,1.0,0.4444444444444444,0.425,-0.15811388300841897,0.037131739916302905,0.07627575023385925,10.877635720208625,9
57,2,0.1,10.0,0.4166666666666667,0.46218487394957986,-0.07100716024967263,0.03586459843270483,0.10327214240931559,3.265133884456669,24
58,1,0.5,1.0,0.23809523809523808,0.5,0.0,0.12257240532835856,0.12176164102083788,46.41936343782947,21
59,1,0.2,10.0,0.3333333333333333,0.2222222222222222,-0.4879500364742666,0.08019785890483275,0.10179963886959137,24.857895007289127,12
60,1,0.05,10.0,0.5,0.5,0.0,0.008487138631205121,0.04887148536403843,1.445751009104817,18
61,1,0.05,0.1,0.5,0.5,0.0,0.006641463749260509,0.03960240262423572,1.451112358647372,12
62,1,0.05,0.1,0.6,0.5,0.0,0.00462151015247271,0.05802299443620454,1.4622925395904962,15
63,2,0.2,10.0,0.5714285714285714,0.5636363636363637,0.13483997249264842,0.04559982045661749,0.09934989419389124,9.514063632071561,21
64,1,0.05,1.0,0.5,0.5,0.0,0.0069959705312716116,0.04048553506970901,1.4401413154509386,14
65,2,0.2,0.1,0.5714285714285714,0.5,0.0,0.041560660088716804,0.08919697886439794,10.83728350913576,21
66,2,0.1,10.0,0.44,0.4512987012987013,-0.09869275424396534,0.03431235062219661,0.06750129267142908,3.194292199508071,25
67,2,0.2,10.0,0.42857142857142855,0.4222222222222222,-0.14907119849998599,0.040660748041066765,0.08974009218047153,10.255643911076339,14
68,1,0.2,0.1,0.6363636363636364,0.5,0.0,0.07544406367032194,0.09021705696833826,26.88706195411797,11
69,2,0.1,0.1,0.3333333333333333,0.5,0.0,0.025040449494745792,0.058765609944753446,3.0718685508355827,9
70,1,0.05,1.0,0.55,0.5,0.0,0.004644709374249953,0.05104927018003112,1.4293685061376609,20
71,2,0.1,10.0,0.4,0.4017857142857143,-0.19642857142857142,0.014026561085198334,0.05027067169856356,3.1682353798627316,15
72,2,0.2,10.0,0.4444444444444444,0.6428571428571428,0.2857142857142857,0.05419348937656631,0.08565825613773402,10.917332115627062,9
73,2,0.2,10.0,0.42105263157894735,0.4147727272727273,-0.1685499656158105,0.049811500856683004,0.10862137097071888,10.305676098433416,19
74,1,0.2,10.0,0.47058823529411764,0.44285714285714284,-0.11769797726729993,0.0890555411219091,0.1059099591095129,26.38375023682621,17
75,2,0.5,10.0,0.4375,0.5166666666666667,0.041344911529736156,0.11434420681306127,0.1219289067121549,44.688438153468695,16
76,2,0.2,10.0,0.5,0.5079365079365079,0.015873015873015872,0.04186859897838133,0.08852608225339348,10.261954300149574,16
77,1,0.2,1.0,0.4,0.3839285714285714,-0.2618924633082486,0.0942859355934718,0.10494327073985134,26.914267942056142,15
78,2,0.2,1.0,0.3333333333333333,0.5,0.0,0.049985988453086404,0.07898982094144694,10.067172741481738,15
79,1,0.1,10.0,0.5555555555555556,0.55,0.1,0.018253101001167414,0.05747862793544257,3.753130070137591,18
80,2,0.2,10.0,0.45454545454545453,0.4545454545454546,-0.13245323570650439,0.04794044673632601,0.09267631102189205,10.282816078961051,22
81,1,0.1,10.0,0.5263157894736842,0.5166666666666666,0.027216552697590865,0.07506116401117657,0.05964649693127881,3.2410481997819507,19
82,2,0.5,10.0,0.4,0.4375,-0.10206207261596577,0.10567394957065594,0.1118376692321229,49.91402499657967,10
83,1,0.2,10.0,0.4,0.375,-0.25,0.0836014659531303,0.09918294637077438,26.003733211622453,10
84,2,0.5,1.0,0.47368421052631576,0.5256410256410257,0.049416621110740085,0.11448906139316624,0.12231100206189657,43.35960542745041,19
85,1,0.05,1.0,0.38461538461538464,0.3875,-0.21957751641341997,0.004219175981841675,0.05693829065634829,1.4261995910883172,13
86,1,0.2,10.0,0.5217391304347826,0.5277777777777778,0.054278245606577465,0.09330852850779107,0.11414136314127864,24.70666744827886,23
87,1,0.5,1.0,0.2857142857142857,0.5454545454545454,0.14484136487558028,0.11665429148386783,0.11683875386591971,53.92088591576252,14
88,1,0.2,10.0,0.4666666666666667,0.5,0.0,0.10792023871909062,0.1085197746626504,28.547868154134278,15
89,2,0.2,10.0,0.6666666666666666,0.6136363636363636,0.21320071635561041,0.03573969640278118,0.07711808409460277,10.49634484052994,15
90,1,0.2,1.0,0.17647058823529413,0.18333333333333335,-0.6038596398555418,0.10396122635983009,0.13061012006909575,27.09574489942975,17
91,2,0.1,10.0,0.3684210526315789,0.4107142857142857,-0.18531232916527532,0.04205636087025857,0.08369134365440098,3.0438657144052828,19
92,1,0.5,10.0,0.3,0.30000000000000004,-0.408248290463863,0.11494994593091004,0.11721836040408928,54.19498666722059,10
93,1,0.2,10.0,0.5,0.4857142857142857,-0.02857142857142857,0.08071518161446788,0.09383319815420002,26.825665932982044,12
94,1,0.05,0.1,0.5,0.5,0.0,0.007078294540732936,0.03588947114839105,1.411349075370956,22
95,2,0.1,10.0,0.5,0.5,0.0,0.02016103880875863,0.0737645771413636,3.1015862260710345,16
96,1,0.1,10.0,0.5,0.4875,-0.025482359571881278,0.02325299614381757,0.07220701192634393,3.9270178452671174,18
97,1,0.2,1.0,0.5,0.6875,0.3273268353539886,0.07326208792102765,0.09166440484234838,27.110542099383995,10
98,2,0.2,10.0,0.48148148148148145,0.5198863636363636,0.042797648953895366,0.07221245353739067,0.10321583373312532,9.653269123954667,27
99,2,0.05,1.0,0.4444444444444444,0.4,-0.31622776601683794,0.005023002278087458,0.04562343056918777,1.4203590196647309,9
