fold,best_reps,best_bandwidth,best_C,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test
0,1,0.05,10,0.6875,0.6875,0.3779644730092272,0.07955713056509216,0.0893236138636343,23.9060438900839,16
1,1,0.1,10,0.4375,0.4375,-0.1259881576697424,0.11968031810565967,0.12112018013977467,52.1933872966199,16
2,2,0.05,10,0.5625,0.5625,0.1259881576697424,0.09793911138370438,0.10577251820467855,33.918979613265265,16
3,2,0.2,10,0.6875,0.6587301587301587,0.363696483726654,0.12248012661067832,0.12439354666155387,59.13136067396196,16
4,1,0.1,10,0.5,0.4444444444444444,-0.2277100170213244,0.12658530324668055,0.1295336001703873,52.74559745966842,16
5,1,0.05,10,0.5,0.5,0.0,0.08231531704235141,0.09437388859821601,24.88380049983405,16
6,1,0.5,10,0.4375,0.4375,-0.2581988897471611,0.12485022511802801,0.12626342517724068,59.7316354139101,16
7,1,0.05,10,0.6875,0.6875,0.3779644730092272,0.06989949131875196,0.08004975556459226,24.596577106022693,16
8,1,0.5,10,0.5,0.47619047619047616,-0.050964719143762556,0.1191375313822846,0.12062240874608995,61.378766454672906,16
9,1,0.05,10,0.5625,0.5476190476190476,0.09759000729485331,0.0750780909062963,0.09194524164012925,22.98161047774632,16
10,2,0.05,1,0.5,0.5,0.0,0.10278569308175249,0.11115308099163632,35.32151377632437,16
11,1,0.1,1,0.6875,0.6875,0.3779644730092272,0.11541453000873272,0.11685433636493038,51.43485990705667,16
12,1,0.1,10,0.6875,0.6875,0.40451991747794525,0.13349020655994936,0.13530841593866955,50.99720944396716,16
13,2,0.2,10,0.625,0.5714285714285714,0.29277002188455997,0.1213406910788756,0.12363930419545612,58.373588582995254,16
14,1,0.1,10,0.625,0.6349206349206349,0.2698412698412698,0.13043990573808825,0.13254509653861093,52.593181079211426,16
15,1,0.1,10,0.5,0.5,0.0,0.12599808962215073,0.12829044981307428,53.29462167614466,16
16,1,0.1,1,0.5625,0.5625,0.2581988897471611,0.12541185631299698,0.1288509592139696,50.81671495035941,16
17,1,0.05,10,0.5,0.5,0.0,0.09123085250157938,0.10097602239726063,25.215706508755066,16
18,1,0.5,10,0.5,0.4444444444444444,-0.2277100170213244,0.12174409439482364,0.12332039711343959,61.52697178658848,16
19,2,0.2,10,0.75,0.746031746031746,0.49206349206349204,0.11996130301664126,0.1216583876794611,58.232918245242736,16
20,1,0.1,1,0.5,0.5,0.0,0.1361668119090291,0.1388811964395184,54.34654267276379,16
21,2,0.05,1,0.5625,0.5625,0.2581988897471611,0.10264554594951902,0.11308062275180905,32.51099251599082,16
22,1,0.2,10,0.5,0.5,0.0,0.12401544427107314,0.12581567447662823,56.11605271548793,16
23,1,0.05,10,0.625,0.6507936507936507,0.32277655457716287,0.06528113424311156,0.07751207668788608,23.78958588875228,16
24,2,0.2,10,0.5,0.47619047619047616,-0.050964719143762556,0.12747619622708595,0.12977342748635684,60.78613885957026,16
25,2,0.2,10,0.5,0.5,0.0,0.12868225548971068,0.1312704642464082,57.75514307810801,16
26,1,0.05,10,0.5625,0.5625,0.1259881576697424,0.08815233929367236,0.10065598486033221,26.50887575402803,16
27,1,0.1,1,0.75,0.75,0.5773502691896258,0.11546760179494903,0.11793600007385592,52.83441661308911,16
28,1,0.05,10,0.6875,0.6904761904761905,0.3779644730092272,0.0725784439311716,0.08653701514413957,23.928524278196626,16
29,1,0.05,10,0.625,0.6349206349206349,0.2698412698412698,0.06715973819320009,0.07930624024483779,23.3940046595364,16
30,2,0.2,1,0.5,0.5,0.0,0.12793026304864127,0.1308229531053514,57.18679749851219,16
31,1,0.05,10,0.5625,0.5625,0.13483997249264842,0.07392354715920836,0.08442975250573022,23.321943465839087,16
32,2,0.05,10,0.5625,0.5625,0.1259881576697424,0.096938131111657,0.1062256626063144,35.012500045532114,16
33,2,0.2,10,0.5625,0.5158730158730158,0.047619047619047616,0.12231004328768925,0.12458578420253047,58.661638649634114,16
34,1,0.05,10,0.5625,0.5793650793650793,0.16265001215808886,0.0832837832446653,0.09635764748725197,26.209799533598535,16
35,1,0.5,10,0.5,0.5,0.0,0.12220526825976984,0.12399264361401671,61.50346254910497,16
36,1,0.1,1,0.4375,0.4375,-0.2581988897471611,0.133189622884331,0.13606811449721767,50.98695206862666,16
37,2,0.5,10,0.75,0.75,0.5773502691896258,0.12208297619914638,0.12322072298104605,59.44445757688421,16
38,1,0.05,1,0.5,0.5079365079365079,0.015873015873015872,0.07581825389941538,0.08941029139170566,25.027311513191496,16
39,1,0.2,10,0.5,0.4444444444444444,-0.2277100170213244,0.12570368752903724,0.12774933480315295,55.306378382131854,16
40,2,0.05,1,0.4375,0.4375,-0.13483997249264842,0.10274816138665573,0.11491548953970714,33.0305927261044,16
41,1,0.1,10,0.5,0.5,0.0,0.12486463846346738,0.12786048995572258,49.999986301148645,16
42,1,0.05,10,0.5625,0.5625,0.1259881576697424,0.08279496801585977,0.09218382083403774,25.679766380593176,16
43,2,0.05,10,0.625,0.6349206349206349,0.2698412698412698,0.0933605702006856,0.10251214866231051,36.753592687385186,16
44,2,0.2,10,0.5,0.4920634920634921,-0.015873015873015872,0.12958480110899218,0.1315482176611344,59.1304563889979,16
45,1,0.05,10,0.625,0.625,0.25,0.07358570313490977,0.08580591372121957,24.41162787720628,16
46,1,0.05,10,0.5625,0.5625,0.1259881576697424,0.09152626774054928,0.10268115089765537,25.69862824622978,16
47,2,0.05,1,0.625,0.625,0.2581988897471611,0.09829418163420403,0.10714798066676241,33.71082260722166,16
48,2,0.2,1,0.5625,0.5,0.0,0.12818829416704752,0.13029058050292036,57.415092907661474,16
49,2,0.2,1,0.625,0.5714285714285714,0.29277002188455997,0.12168943804092136,0.12378636817021864,57.84660232945272,16
50,2,0.05,10,0.5625,0.5625,0.1259881576697424,0.1041320169009261,0.11363377692169709,34.55390690195697,16
51,1,0.05,1,0.5625,0.5625,0.13483997249264842,0.07325493147426453,0.08376750619352245,24.779083233427695,16
52,2,0.5,10,0.625,0.625,0.3779644730092272,0.12739189016494865,0.12857501191988874,63.104405678869135,16
53,1,0.05,10,0.5,0.5079365079365079,0.015873015873015872,0.08303595245027395,0.09687327221233456,24.377481467116436,16
54,1,0.2,1,0.4375,0.4365079365079365,-0.1259881576697424,0.12480847030386202,0.12623176856951046,56.102486411456034,16
55,1,0.2,1,0.5,0.5,0.0,0.12941095812285344,0.13181754642865942,56.08568437844233,16
56,1,0.1,10,0.5,0.5,0.0,0.13368586780567218,0.13431890146820666,53.61454323707124,16
57,2,0.5,10,0.5,0.5,0.0,0.12392168175994525,0.12477094765764575,59.90377634604045,16
58,1,0.1,10,0.6875,0.6587301587301587,0.363696483726654,0.12064515087652539,0.12304777983473035,52.26393015753769,16
59,1,0.05,10,0.5625,0.5793650793650793,0.16265001215808886,0.08704896682446642,0.10249476819139237,27.37417235730297,16
60,2,0.05,1,0.375,0.375,-0.2581988897471611,0.10593508326843064,0.11424786600674985,33.21260818042315,16
61,2,0.2,10,0.625,0.625,0.2886751345948129,0.11827427717866353,0.12032707296556272,60.141885018777685,16
62,1,0.1,10,0.5625,0.5625,0.16012815380508713,0.1274196768144867,0.1293064625708239,53.28639325556594,16
63,1,0.2,10,0.375,0.36507936507936506,-0.2698412698412698,0.13187278012347284,0.13359759889033002,56.6553614789713,16
64,1,0.1,10,0.5,0.47619047619047616,-0.050964719143762556,0.13362167381635065,0.1363538319474061,51.01906036982839,16
65,1,0.1,1,0.5,0.5,0.0,0.13594453982764562,0.13799139414591613,56.94125771119577,16
66,2,0.2,1,0.5625,0.5625,0.16012815380508713,0.12887592502364142,0.1309180461300098,59.120963659394214,16
67,1,0.5,10,0.4375,0.4375,-0.2581988897471611,0.12359930296361914,0.12516414412743956,59.41120842242794,16
68,2,0.2,10,0.625,0.5714285714285714,0.29277002188455997,0.12330978105319391,0.12543026831272772,59.88674889510701,16
69,1,0.1,1,0.5,0.47619047619047616,-0.050964719143762556,0.12185105060793397,0.12397061834008125,51.38352338549642,16
70,1,0.2,10,0.5,0.5,0.0,0.13169130531839424,0.13338999409697017,56.144974162153936,16
71,2,0.05,10,0.625,0.625,0.2581988897471611,0.08967010394269155,0.09773697032583904,32.48761924222619,16
72,1,0.1,10,0.5625,0.5625,0.13483997249264842,0.12764200833091519,0.1302309550525723,53.04608184904425,16
73,2,0.2,10,0.6875,0.6587301587301587,0.363696483726654,0.12147502952200284,0.12321229230061444,58.09247103263715,16
74,2,0.05,10,0.6875,0.7063492063492063,0.42289003161103106,0.09510893653544421,0.1045612473408587,35.07560857220937,16
75,1,0.05,10,0.6875,0.6875,0.3779644730092272,0.08125723650132176,0.09045781008087954,26.22348789571595,16
76,2,0.05,10,0.6875,0.6875,0.3779644730092272,0.09047579247293261,0.10039607642119266,32.185840052181625,16
77,2,0.05,10,0.5625,0.5625,0.1259881576697424,0.09132934851957335,0.10116705551227194,33.01593944868683,16
78,1,0.1,10,0.625,0.6190476190476191,0.23809523809523808,0.11808220406116049,0.12037708295385385,51.69599374825917,16
79,1,0.1,1,0.6875,0.6746031746031746,0.3578300267477955,0.1295000135856889,0.1316860412625098,51.49194094804198,16
80,1,0.1,1,0.5,0.5,0.0,0.13087395790460493,0.13375582511621278,50.615802575989896,16
81,2,0.05,10,0.625,0.625,0.2581988897471611,0.10106379283782663,0.11140689851525647,35.344387413280174,16
82,1,0.5,10,0.375,0.375,-0.3779644730092272,0.12440153016633898,0.1257236057356299,59.73092285905466,16
83,2,0.2,10,0.6875,0.6587301587301587,0.363696483726654,0.11967005893405183,0.1216192545652193,59.96896638201095,16
