fold,best_reps,best_bandwidth,best_C,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test
0,2,0.05,10.0,0.46153846153846156,0.41666666666666663,-0.14085904245475275,0.1046451945219845,0.11656974638888895,34.35782530103025,13
1,1,0.05,10.0,0.4166666666666667,0.45714285714285713,-0.09759000729485331,0.10197383347904325,0.10163161164077511,25.161654518036812,24
2,2,0.1,1.0,0.5,0.5,0.0,0.13078147189662026,0.13377735882701117,51.52472072856625,18
3,1,0.05,10.0,0.5555555555555556,0.5064935064935066,0.01413506985480439,0.07959968828326813,0.09491784220624608,23.237074889856256,18
4,1,0.2,1.0,0.2857142857142857,0.5,0.0,0.11893601260291753,0.12079225929296798,63.50358720983669,7
5,2,0.1,10.0,0.4166666666666667,0.5,0.0,0.12062784313017783,0.12322226644503444,54.47376032791331,12
6,1,0.1,10.0,0.36363636363636365,0.4,-0.3464101615137754,0.13642404897190474,0.13742305121919393,46.031439828090114,22
7,2,0.05,10.0,0.5,0.47619047619047616,-0.050964719143762556,0.09504480621738835,0.10484240450121987,33.72687924143919,16
8,1,0.5,10.0,0.23076923076923078,0.5,0.0,0.12021041374019349,0.12171742197856447,62.43989907148408,13
9,2,0.05,10.0,0.4117647058823529,0.4305555555555556,-0.181848241863327,0.11238871166141257,0.11712803754854889,34.710122839252335,17
10,1,0.05,10.0,0.35294117647058826,0.35416666666666663,-0.2916666666666667,0.07755266628915027,0.08727337357046326,22.170550209993237,17
11,1,0.05,10.0,0.5,0.59375,0.2041241452319315,0.1245299591704609,0.10743469673965986,26.513541892280333,24
12,2,0.1,10.0,0.3333333333333333,0.48214285714285715,-0.03571428571428571,0.12577450059156978,0.12569249018221687,51.29945898973448,18
13,2,0.05,10.0,0.5,0.5208333333333333,0.04303314829119352,0.09230693793978867,0.10250174941826594,32.782767839547645,14
14,1,0.05,10.0,0.7142857142857143,0.7083333333333333,0.4166666666666667,0.06444439276873452,0.07581658134829597,24.970521935032874,7
15,1,0.05,1.0,0.375,0.49090909090909096,-0.021591675854376522,0.09996990574757413,0.09246399367846832,26.748527462113035,16
16,2,0.05,1.0,0.5,0.5666666666666667,0.1414213562373095,0.09466046847069627,0.10668605062689765,33.51573481744322,14
17,1,0.1,10.0,0.5714285714285714,0.5555555555555556,0.11322770341445958,0.12929468123566057,0.13165033156783446,49.064969582918806,21
18,1,0.1,10.0,0.3684210526315789,0.40340909090909094,-0.21660005636099086,0.13281891541107887,0.1354103454669285,46.009072265148305,19
19,1,0.1,10.0,0.3,0.3,-0.5,0.11861379940768063,0.12112645152195672,53.55286663816535,10
20,1,0.05,10.0,0.4166666666666667,0.5625,0.21320071635561041,0.11275882043741411,0.09916484424204192,23.974373863537018,24
21,1,0.05,1.0,0.3888888888888889,0.3875,-0.22360679774997896,0.08632078639518576,0.099253585782004,24.797657427013657,18
22,1,0.1,10.0,0.3,0.30952380952380953,-0.3563483225498992,0.12183521751478095,0.124002471601395,53.56655733795967,10
