z_1_1,z_2_1,z_3_1,z_4_1,z_5_1,z_6_1,z_7_1,z_8_1,z_9_1
4.18134538,-1.61751154,-0.29307682,-2.90717742,-3.22038429,4.18134538,1.69620487,-1.61751154,-3.16781925
-1.61751154,-0.29307682,-2.90717742,-3.22038429,4.18134538,1.69620487,-1.61751154,-3.16781925,3.10220842
4.18134538,1.69620487,-1.61751154,-3.16781925,3.10220842,-3.16781925,4.18134538,-3.50072748,-3.22038429
-0.29307682,1.69620487,-0.29307682,-0.29307682,2.73546468,4.18134538,2.73546468,1.46759248,-3.22038429
-3.22038429,-3.22038429,3.58015888,3.58015888,3.11220363,1.69620487,3.58015888,-1.61751154,1.46759248
3.58015888,3.58015888,3.11220363,1.69620487,3.58015888,-1.61751154,1.46759248,-3.22038429,3.10220842
-1.61751154,1.46759248,-3.22038429,3.10220842,-2.90717742,1.46759248,1.69620487,4.18134538,-0.29307682
1.46759248,1.69620487,4.18134538,-0.29307682,-3.22038429,4.18134538,4.18134538,-3.16781925,1.46759248
4.18134538,-3.16781925,1.46759248,3.11220363,3.58015888,-3.22038429,3.58015888,1.46759248,-1.61751154
3.58015888,-1.61751154,4.18134538,-1.61751154,-3.16781925,2.73546468,1.69620487,-3.22038429,4.18134538
-0.29307682,1.69620487,-0.29307682,-0.29307682,1.46759248,2.73546468,2.73546468,-1.61751154,-0.29307682
-0.29307682,-0.29307682,1.46759248,2.73546468,2.73546468,-1.61751154,-0.29307682,-3.22038429,3.58015888
3.58015888,3.58015888,3.11220363,1.69620487,3.58015888,1.46759248,-1.61751154,-3.22038429,3.10220842
-0.29307682,1.69620487,2.73546468,3.43142459,1.69620487,-1.61751154,4.18134538,-3.22038429,-2.90717742
4.18134538,-3.16781925,1.46759248,3.11220363,3.58015888,-3.22038429,4.28833721,1.46759248,1.46759248
3.10220842,1.69620487,-0.29307682,-1.61751154,-1.62971297,-1.61751154,1.69620487,-2.90717742,1.69620487
-1.89149482,3.58015888,4.12992057,3.11220363,3.10220842,-3.16781925,3.11220363,-1.61751154,-1.61751154
4.12992057,3.11220363,3.10220842,-3.16781925,3.11220363,-1.61751154,-1.61751154,-3.16781925,3.10220842
-1.61751154,-3.16781925,3.10220842,4.28833721,-1.61751154,3.58015888,3.10220842,-2.90717742,-1.61751154
-1.61751154,-1.61751154,5.22619113,3.43142459,-1.61751154,4.18134538,-3.22038429,-3.22038429,3.43142459
-1.61751154,5.22619113,3.43142459,-1.61751154,4.18134538,-3.22038429,-3.22038429,3.43142459,-3.16781925
3.43142459,-1.61751154,4.18134538,-3.22038429,-3.22038429,3.43142459,-3.16781925,-1.89149482,1.69620487
3.43142459,-3.16781925,-1.89149482,1.69620487,-0.29307682,4.12992057,1.69620487,-1.89149482,4.18134538
-1.89149482,1.69620487,-0.29307682,4.12992057,1.69620487,-1.89149482,4.18134538,-3.50072748,1.46759248
1.69620487,-1.89149482,4.18134538,-3.50072748,1.46759248,1.69620487,-1.61751154,-3.22038429,1.46759248
-3.22038429,-2.90717742,5.22619113,-3.22038429,3.11220363,4.18134538,-1.61751154,-1.61751154,-3.22038429
-2.90717742,5.22619113,-3.22038429,3.11220363,4.18134538,-1.61751154,-1.61751154,-3.22038429,5.22619113
1.46759248,1.46759248,1.69620487,-0.29307682,-1.61751154,1.69620487,3.11220363,-2.90717742,3.58015888
1.69620487,3.11220363,-2.90717742,3.58015888,1.46759248,4.12992057,2.73546468,-3.50072748,3.10220842
-1.61751154,4.12992057,-1.61751154,4.12992057,3.10220842,3.43142459,-3.22038429,-2.90717742,5.22619113
-1.61751154,1.46759248,1.69620487,-0.29307682,-2.90717742,1.69620487,4.18134538,-1.61751154,3.58015888
1.69620487,4.18134538,-1.61751154,3.58015888,1.46759248,4.12992057,2.73546468,-3.50072748,3.10220842
4.28833721,5.22619113,4.28833721,3.43142459,1.46759248,-3.16781925,-1.61751154,-1.61751154,4.18134538
-3.22038429,-1.61751154,-0.29307682,3.10220842,-3.22038429,3.11220363,3.58015888,-3.22038429,-1.61751154
-0.29307682,3.10220842,-3.22038429,3.11220363,3.58015888,-3.22038429,-1.61751154,-3.22038429,3.10220842
-1.61751154,3.11220363,2.73546468,3.10220842,-1.61751154,-1.61751154,4.28833721,-3.22038429,-1.61751154
4.18134538,4.18134538,-0.29307682,3.10220842,3.58015888,1.69620487,1.69620487,-1.61751154,4.28833721
-3.22038429,-1.61751154,-0.29307682,3.10220842,-3.16781925,3.11220363,3.58015888,-3.22038429,-1.61751154
-0.29307682,3.10220842,-3.16781925,3.11220363,3.58015888,-3.22038429,-1.61751154,-3.22038429,3.10220842
-1.61751154,3.11220363,4.18134538,3.10220842,-1.61751154,-1.61751154,4.28833721,-3.22038429,-1.61751154
3.10220842,-1.61751154,-1.61751154,4.28833721,-3.22038429,-1.61751154,3.11220363,-1.62971297,1.46759248
4.12992057,-3.16781925,3.58015888,-3.22038429,-0.29307682,1.69620487,3.43142459,3.43142459,1.69620487
3.58015888,-3.22038429,-0.29307682,1.69620487,3.43142459,3.43142459,1.69620487,-1.61751154,4.18134538
-3.22038429,-0.29307682,1.69620487,3.43142459,3.43142459,1.69620487,-1.61751154,4.18134538,-3.22038429
-0.29307682,1.69620487,3.43142459,3.43142459,1.69620487,-1.61751154,4.18134538,-3.22038429,-2.90717742
4.12992057,-3.16781925,3.58015888,-3.22038429,-0.29307682,1.69620487,2.73546468,3.43142459,1.69620487
3.58015888,-3.22038429,-0.29307682,1.69620487,2.73546468,3.43142459,1.69620487,-1.61751154,4.18134538
4.12992057,3.58015888,-0.29307682,1.69620487,-1.89149482,-0.29307682,4.28833721,-1.62971297,3.43142459
1.69620487,5.22619113,-0.29307682,3.11220363,3.11220363,1.69620487,1.46759248,-2.90717742,1.69620487
