z_1_1,z_2_1,z_3_1,z_4_1,z_5_1,z_6_1,z_7_1,z_8_1,z_9_1
2.45407613,-1.94679894,-1.53747477,-3.26138889,-3.63545394,2.45407613,1.29552986,-1.94679894,-4.43535075
-1.94679894,-1.53747477,-3.26138889,-3.63545394,2.45407613,1.29552986,-1.94679894,-4.43535075,2.58575664
2.45407613,1.29552986,-1.94679894,-4.43535075,2.58575664,-4.43535075,2.45407613,-5.69444648,-3.63545394
-1.53747477,1.29552986,-1.53747477,-1.53747477,2.01975552,2.45407613,2.01975552,0.69233753,-3.63545394
-3.63545394,-3.63545394,2.85122073,2.85122073,1.67842891,1.29552986,2.85122073,-1.94679894,0.69233753
2.85122073,2.85122073,1.67842891,1.29552986,2.85122073,-1.94679894,0.69233753,-3.63545394,2.58575664
-1.94679894,0.69233753,-3.63545394,2.58575664,-3.26138889,0.69233753,1.29552986,2.45407613,-1.53747477
0.69233753,1.29552986,2.45407613,-1.53747477,-3.63545394,2.45407613,2.45407613,-4.43535075,0.69233753
2.45407613,-4.43535075,0.69233753,1.67842891,2.85122073,-3.63545394,2.85122073,0.69233753,-1.94679894
2.85122073,-1.94679894,2.45407613,-1.94679894,-4.43535075,2.01975552,1.29552986,-3.63545394,2.45407613
-1.53747477,1.29552986,-1.53747477,-1.53747477,0.69233753,2.01975552,2.01975552,-1.94679894,-1.53747477
-1.53747477,-1.53747477,0.69233753,2.01975552,2.01975552,-1.94679894,-1.53747477,-3.63545394,2.85122073
2.85122073,2.85122073,1.67842891,1.29552986,2.85122073,0.69233753,-1.94679894,-3.63545394,2.58575664
-1.53747477,1.29552986,2.01975552,1.08760477,1.29552986,-1.94679894,2.45407613,-3.63545394,-3.26138889
2.45407613,-4.43535075,0.69233753,1.67842891,2.85122073,-3.63545394,3.21202639,0.69233753,0.69233753
2.58575664,1.29552986,-1.53747477,-1.94679894,-2.87332222,-1.94679894,1.29552986,-3.26138889,1.29552986
-3.31425965,2.85122073,3.70882743,1.67842891,2.58575664,-4.43535075,1.67842891,-1.94679894,-1.94679894
3.70882743,1.67842891,2.58575664,-4.43535075,1.67842891,-1.94679894,-1.94679894,-4.43535075,2.58575664
-1.94679894,-4.43535075,2.58575664,3.21202639,-1.94679894,2.85122073,2.58575664,-3.26138889,-1.94679894
-1.94679894,-1.94679894,4.44031663,1.08760477,-1.94679894,2.45407613,-3.63545394,-3.63545394,1.08760477
-1.94679894,4.44031663,1.08760477,-1.94679894,2.45407613,-3.63545394,-3.63545394,1.08760477,-4.43535075
1.08760477,-1.94679894,2.45407613,-3.63545394,-3.63545394,1.08760477,-4.43535075,-3.31425965,1.29552986
1.08760477,-4.43535075,-3.31425965,1.29552986,-1.53747477,3.70882743,1.29552986,-3.31425965,2.45407613
-3.31425965,1.29552986,-1.53747477,3.70882743,1.29552986,-3.31425965,2.45407613,-5.69444648,0.69233753
1.29552986,-3.31425965,2.45407613,-5.69444648,0.69233753,1.29552986,-1.94679894,-3.63545394,0.69233753
-3.63545394,-3.26138889,4.44031663,-3.63545394,1.67842891,2.45407613,-1.94679894,-1.94679894,-3.63545394
-3.26138889,4.44031663,-3.63545394,1.67842891,2.45407613,-1.94679894,-1.94679894,-3.63545394,4.44031663
0.69233753,0.69233753,1.29552986,-1.53747477,-1.94679894,1.29552986,1.67842891,-3.26138889,2.85122073
1.29552986,1.67842891,-3.26138889,2.85122073,0.69233753,3.70882743,2.01975552,-5.69444648,2.58575664
-1.94679894,3.70882743,-1.94679894,3.70882743,2.58575664,1.08760477,-3.63545394,-3.26138889,4.44031663
-1.94679894,0.69233753,1.29552986,-1.53747477,-3.26138889,1.29552986,2.45407613,-1.94679894,2.85122073
1.29552986,2.45407613,-1.94679894,2.85122073,0.69233753,3.70882743,2.01975552,-5.69444648,2.58575664
3.21202639,4.44031663,3.21202639,1.08760477,0.69233753,-4.43535075,-1.94679894,-1.94679894,2.45407613
-3.63545394,-1.94679894,-1.53747477,2.58575664,-3.63545394,1.67842891,2.85122073,-3.63545394,-1.94679894
-1.53747477,2.58575664,-3.63545394,1.67842891,2.85122073,-3.63545394,-1.94679894,-3.63545394,2.58575664
-1.94679894,1.67842891,2.01975552,2.58575664,-1.94679894,-1.94679894,3.21202639,-3.63545394,-1.94679894
2.45407613,2.45407613,-1.53747477,2.58575664,2.85122073,1.29552986,1.29552986,-1.94679894,3.21202639
-3.63545394,-1.94679894,-1.53747477,2.58575664,-4.43535075,1.67842891,2.85122073,-3.63545394,-1.94679894
-1.53747477,2.58575664,-4.43535075,1.67842891,2.85122073,-3.63545394,-1.94679894,-3.63545394,2.58575664
-1.94679894,1.67842891,2.45407613,2.58575664,-1.94679894,-1.94679894,3.21202639,-3.63545394,-1.94679894
2.58575664,-1.94679894,-1.94679894,3.21202639,-3.63545394,-1.94679894,1.67842891,-2.87332222,0.69233753
3.70882743,-4.43535075,2.85122073,-3.63545394,-1.53747477,1.29552986,1.08760477,1.08760477,1.29552986
2.85122073,-3.63545394,-1.53747477,1.29552986,1.08760477,1.08760477,1.29552986,-1.94679894,2.45407613
-3.63545394,-1.53747477,1.29552986,1.08760477,1.08760477,1.29552986,-1.94679894,2.45407613,-3.63545394
-1.53747477,1.29552986,1.08760477,1.08760477,1.29552986,-1.94679894,2.45407613,-3.63545394,-3.26138889
3.70882743,-4.43535075,2.85122073,-3.63545394,-1.53747477,1.29552986,2.01975552,1.08760477,1.29552986
2.85122073,-3.63545394,-1.53747477,1.29552986,2.01975552,1.08760477,1.29552986,-1.94679894,2.45407613
3.70882743,2.85122073,-1.53747477,1.29552986,-3.31425965,-1.53747477,3.21202639,-2.87332222,1.08760477
1.29552986,4.44031663,-1.53747477,1.67842891,1.67842891,1.29552986,0.69233753,-3.26138889,1.29552986
0.69233753,-3.26138889,1.29552986,4.44031663,2.85122073,-1.53747477,2.85122073,-4.43535075,-3.63545394
0.69233753,2.85122073,3.21202639,-1.94679894,2.85122073,3.70882743,-2.87332222,-2.87332222,0.69233753
2.85122073,-4.43535075,-1.53747477,2.58575664,1.29552986,-1.53747477,-4.43535075,-4.43535075,-3.31425965
2.01975552,1.08760477,0.6726151,-1.53747477,-1.94679894,1.29552986,-3.26138889,-5.69444648,0.6726151
-1.53747477,-2.87332222,1.67842891,-1.53747477,-1.53747477,2.45407613,1.29552986,-1.94679894,-3.26138889
2.45407613,-2.87332222,2.01975552,1.29552986,2.45407613,2.45407613,2.58575664,-3.63545394,-1.94679894
2.85122073,3.21202639,-1.94679894,-3.63545394,2.45407613,2.85122073,2.45407613,-4.43535075,-3.26138889
-1.94679894,2.01975552,4.44031663,2.58575664,4.44031663,-1.94679894,-3.26138889,-2.87332222,1.29552986
-2.87332222,1.29552986,-1.53747477,1.29552986,1.08760477,2.01975552,1.29552986,-3.31425965,-3.63545394
-3.26138889,3.70882743,0.69233753,3.70882743,1.29552986,0.6726151,1.67842891,-2.87332222,-3.63545394
3.70882743,0.69233753,3.70882743,1.29552986,0.6726151,1.67842891,-2.87332222,-3.63545394,0.69233753
2.45407613,-3.63545394,-1.53747477,-3.31425965,-3.63545394,1.08760477,3.21202639,-3.63545394,2.45407613
1.08760477,-4.43535075,3.70882743,2.85122073,1.29552986,3.21202639,2.45407613,-1.94679894,0.69233753
3.70882743,2.85122073,1.29552986,3.21202639,2.45407613,-1.94679894,0.69233753,-3.63545394,1.29552986
1.29552986,3.21202639,2.45407613,-1.94679894,0.69233753,-3.63545394,1.29552986,-3.31425965,2.58575664
2.58575664,2.45407613,-3.63545394,-3.63545394,2.58575664,-3.63545394,-3.63545394,1.08760477,-3.63545394
2.45407613,-3.63545394,-3.63545394,2.58575664,-3.63545394,-3.63545394,1.08760477,-3.63545394,-3.63545394
-3.63545394,-3.63545394,2.58575664,-3.63545394,-3.63545394,1.08760477,-3.63545394,-3.63545394,-3.26138889
-4.43535075,-3.63545394,3.21202639,0.6726151,0.69233753,-4.43535075,1.29552986,-4.43535075,2.58575664
-4.43535075,1.29552986,-4.43535075,2.58575664,-2.87332222,-3.31425965,1.29552986,-4.43535075,-1.94679894
1.08760477,-4.43535075,2.01975552,2.85122073,1.29552986,3.21202639,1.67842891,-1.94679894,0.69233753
2.01975552,2.85122073,1.29552986,3.21202639,1.67842891,-1.94679894,0.69233753,-3.63545394,1.29552986
1.29552986,3.21202639,1.67842891,-1.94679894,0.69233753,-3.63545394,1.29552986,-3.31425965,2.58575664
1.29552986,-3.31425965,2.58575664,0.69233753,-1.94679894,-1.94679894,0.69233753,-3.63545394,-3.63545394
2.58575664,0.69233753,-1.94679894,-1.94679894,0.69233753,-3.63545394,-3.63545394,-5.69444648,2.58575664
1.67842891,3.21202639,-1.53747477,3.70882743,1.67842891,-1.53747477,1.08760477,-4.43535075,-1.53747477
-1.53747477,3.70882743,1.67842891,-1.53747477,1.08760477,-4.43535075,-1.53747477,-3.63545394,0.69233753
3.70882743,4.44031663,4.44031663,-1.94679894,2.45407613,1.08760477,1.08760477,-4.43535075,1.29552986
1.67842891,3.21202639,-1.53747477,2.58575664,1.67842891,-1.53747477,1.08760477,-4.43535075,-1.53747477
-1.53747477,2.58575664,1.67842891,-1.53747477,1.08760477,-4.43535075,-1.53747477,-3.63545394,0.69233753
3.70882743,4.44031663,4.44031663,-1.94679894,2.45407613,1.08760477,-1.53747477,-4.43535075,1.29552986
